accession	entry_name	protein_names	gene_names	organism	sequence_source	keywords	go_ids	ligand_chebis	decision	reason
A0A087XDQ4	A0A087XDQ4_POEFO	Protein smoothened		Poecilia formosa (Amazon molly) (Limia formosa)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1003;KW-0966;KW-0217;KW-1015;KW-0297;KW-0325;KW-0472;KW-0675;KW-1185;KW-0732;KW-0807;KW-0812;KW-1133	GO:0005929;GO:0030425;GO:0005886;GO:0004930;GO:0008142;GO:0005113;GO:0007417;GO:0071679;GO:0007389;GO:0007224;GO:0009888		KEEP	KW-0675 steroid hormone receptor
A0A087YST6	A0A087YST6_POEFO	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)		Poecilia formosa (Amazon molly) (Limia formosa)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0038054;GO:0030284;GO:0005496;GO:0006915;GO:0007420;GO:0030154;GO:0071392;GO:0051447;GO:0043524;GO:1900194;GO:0040019;GO:2000179;GO:0045944		KEEP	KW-0675 steroid hormone receptor
A0A093H389	A0A093H389_STRCA	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	N308_05274	Struthio camelus australis	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005737;GO:0005829;GO:0016020;GO:0005739;GO:0016607;GO:0005634;GO:0032991;GO:0005819;GO:0045202;GO:0001046;GO:0001228;GO:0001227;GO:0051879;GO:0042802;GO:0004883;GO:1990841;GO:0019901;GO:0000978;GO:1990239;GO:0017025;GO:0008270;GO:0048708;GO:0071549;GO:0071560;GO:0006325;GO:0006351;GO:0014004;GO:0061744;GO:0150076;GO:1902895;GO:0009408;GO:0035249		KEEP	GO sterane-specific: ['GO:1990239']
A0A096ML67	A0A096ML67_PAPAN	Sodium/potassium-transporting ATPase subunit alpha	ATP1A2	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0067;KW-1003;KW-0406;KW-0460;KW-0472;KW-0479;KW-0547;KW-0597;KW-0630;KW-0633;KW-1185;KW-0915;KW-0739;KW-0740;KW-1278;KW-0812;KW-1133;KW-0813	GO:0042995;GO:0009986;GO:0005783;GO:0043025;GO:0031090;GO:0005890;GO:0030315;GO:0005524;GO:0016887;GO:0005391;GO:0030955;GO:0051087;GO:0031402;GO:1990239;GO:0046034;GO:0008015;GO:0007154;GO:0071383;GO:0030007;GO:0006883;GO:0035641;GO:1990573;GO:1902600;GO:0008016;GO:0006942;GO:0010996;GO:1903416;GO:0036376	CHEBI:15377;CHEBI:15378;CHEBI:29101;CHEBI:29103;CHEBI:30616;CHEBI:43474;CHEBI:456216	KEEP	GO sterane-specific: ['GO:1990239']
A0A096MM49	A0A096MM49_PAPAN	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0488;KW-0496;KW-0539;KW-0564;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0016020;GO:0005739;GO:0016607;GO:0032991;GO:0005819;GO:0045202;GO:0001046;GO:0001228;GO:0001227;GO:0051879;GO:0042802;GO:0004883;GO:1990841;GO:0019901;GO:0000978;GO:1990239;GO:0017025;GO:0008270;GO:0048708;GO:0071549;GO:0071560;GO:0006325;GO:0006351;GO:0014004;GO:0061744;GO:0150076;GO:1902895;GO:0035249		KEEP	GO sterane-specific: ['GO:1990239']
A0A096N0M3	A0A096N0M3_PAPAN	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER1	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0030659;GO:0005829;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0098686;GO:0045095;GO:0031966;GO:0005635;GO:0005730;GO:0005654;GO:0048471;GO:0014069;GO:0055037;GO:0005802;GO:0003682;GO:0004930;GO:0030284;GO:1990239;GO:0007189;GO:0006915;GO:0030154;GO:0071392;GO:0071333;GO:0071375;GO:0071356;GO:0050804;GO:0010948;GO:0070373;GO:0045599;GO:0010629;GO:0050728;GO:0002695;GO:0051055;GO:0051898;GO:1904706;GO:0007399;GO:2000724;GO:0030335;GO:0008284;GO:0007204;GO:0045742;GO:0070374;GO:0045745;GO:0010628;GO:0032962;GO:0032024;GO:0050769;GO:0051897;GO:1903078;GO:0051281;GO:0045944;GO:0070474		KEEP	GO sterane-specific: ['GO:1990239']
A0A096N199	A0A096N199_PAPAN	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0000785;GO:0005829;GO:0016607;GO:0032991;GO:0005497;GO:0051117;GO:0008013;GO:0003682;GO:0001228;GO:0140693;GO:0003707;GO:0000978;GO:0001091;GO:0061629;GO:0005102;GO:0005496;GO:0001223;GO:0008270;GO:0030521;GO:0071391;GO:0071394;GO:0006351;GO:0030520;GO:0140694;GO:0008285;GO:0000122;GO:0045597;GO:0008284;GO:0010628;GO:0045726;GO:1902895;GO:0045945		KEEP	GO sterane-specific: ['GO:0003707', 'GO:0005497']
A0A096N4R7	A0A096N4R7_PAPAN	Vitamin D3 receptor (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	VDR	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-0479;KW-0539;KW-0675;KW-1185;KW-0804;KW-0805;KW-0862;KW-0863	GO:0000785;GO:0005737;GO:0005654;GO:0043235;GO:0090575;GO:0038186;GO:1902098;GO:1902121;GO:0046965;GO:0070644;GO:0008270;GO:0030154;GO:0000902;GO:0046697;GO:0042789;GO:0010839;GO:0000122;GO:0038185;GO:0035435;GO:0010628;GO:0045618;GO:0045944;GO:0070564;GO:1903412;GO:0048384;GO:0070561		DROP_VITD	VDR — vitamin D nuclear receptor (secosteroid-only)
A0A096NAT2	A0A096NAT2_PAPAN	Non-selective voltage-gated ion channel VDAC1 (Voltage-dependent anion-selective channel protein 1)	VDAC1	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0007;KW-0053;KW-0067;KW-1003;KW-0406;KW-1017;KW-0472;KW-0496;KW-1000;KW-0520;KW-0547;KW-0597;KW-0626;KW-1185;KW-0812;KW-1134;KW-0813;KW-0832	GO:0045121;GO:0042645;GO:0005741;GO:0005757;GO:0005886;GO:0005524;GO:0097001;GO:0015485;GO:0042802;GO:0031210;GO:0015288;GO:0019901;GO:0044325;GO:0008308;GO:0006915;GO:0030855;GO:1990542;GO:0043066;GO:0110099;GO:1905091	CHEBI:15355;CHEBI:17996;CHEBI:18420;CHEBI:29034;CHEBI:29101;CHEBI:29103;CHEBI:29108;CHEBI:29985;CHEBI:30616;CHEBI:57262;CHEBI:57643;CHEBI:59905	KEEP	GO sterane-specific: ['GO:0015485']
A0A096NQ04	A0A096NQ04_PAPAN	Apolipoprotein A-II (Apolipoprotein A2)	APOA2	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0345;KW-0445;KW-0558;KW-1185;KW-0964;KW-0813	GO:0042627;GO:0034366;GO:0034361;GO:0034190;GO:0015485;GO:0120020;GO:0019899;GO:0031072;GO:0008035;GO:0070653;GO:0055102;GO:0031210;GO:0060228;GO:0046982;GO:0042803;GO:0048018;GO:0071402;GO:0033344;GO:0042632;GO:0046340;GO:0034380;GO:0034384;GO:0034375;GO:0042157;GO:0034374;GO:0060621;GO:0002719;GO:0050995;GO:0010903;GO:0006656;GO:0009395;GO:0033700;GO:0032757;GO:0050996;GO:0050766;GO:0050821;GO:0009749;GO:0043691;GO:0034370		KEEP	GO sterane-specific: ['GO:0015485']
