cluster	cluster_size	go_term	k_in_cluster	K_in_atlas	cluster_freq	bg_freq	enrichment_ratio	log10_p
0	771	presynapse	710	1207	0.9209	0.0344	26.79	300.0
0	771	DNA-templated transcription	1	681	0.0013	0.0194	0.07	0.0
0	771	monooxygenase activity	2	196	0.0026	0.0056	0.46	0.03
0	771	progesterone metabolic process	11	906	0.0143	0.0258	0.55	0.0
0	771	xenobiotic metabolic process	11	499	0.0143	0.0142	1.0	0.27
0	771	steroid hydroxylase activity	11	153	0.0143	0.0044	3.27	3.23
0	771	dendrite	710	1498	0.9209	0.0427	21.59	300.0
0	771	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	2	156	0.0026	0.0044	0.58	0.07
0	771	regulation of DNA-templated transcription	2	26	0.0026	0.0007	3.5	0.96
0	771	cholesterol 24-hydroxylase activity	710	1202	0.9209	0.0342	26.9	300.0
0	771	postsynapse	710	1209	0.9209	0.0344	26.75	300.0
0	771	regulation of long-term synaptic potentiation	8	61	0.0104	0.0017	5.97	4.26
0	771	heme binding	713	5655	0.9248	0.161	5.74	300.0
0	771	cholesterol catabolic process	710	1254	0.9209	0.0357	25.79	300.0
1	521	GTP binding	1	50	0.0019	0.0014	1.35	0.28
1	521	positive regulation of cell population proliferation	34	218	0.0653	0.0062	10.51	23.88
1	521	sterol 14-demethylase activity	27	2241	0.0518	0.0638	0.81	0.05
1	521	lymphoid progenitor cell differentiation	55	57	0.1056	0.0016	65.04	98.65
1	521	presynapse	2	1207	0.0038	0.0344	0.11	0.0
1	521	segment polarity determination	3	177	0.0058	0.005	1.14	0.31
1	521	chondroblast differentiation	64	66	0.1228	0.0019	65.36	115.44
1	521	neuron differentiation	160	425	0.3071	0.0121	25.38	184.66
1	521	regulation of multicellular organismal process	53	56	0.1017	0.0016	63.79	93.67
1	521	regulation of cell differentiation	53	55	0.1017	0.0016	64.95	94.93
1	521	regulation of developmental process	69	327	0.1324	0.0093	14.22	57.72
1	521	negative regulation of cholesterol efflux	53	54	0.1017	0.0015	66.15	96.37
1	521	positive regulation of developmental process	52	54	0.0998	0.0015	64.91	93.07
1	521	signal transduction	2	91	0.0038	0.0026	1.48	0.41
1	521	negative regulation of kidney smooth muscle cell differentiation	53	54	0.1017	0.0015	66.15	96.37
1	521	negative regulation of apoptotic process	56	225	0.1075	0.0064	16.78	51.07
1	521	anatomical structure morphogenesis	3	172	0.0058	0.0049	1.18	0.33
1	521	negative regulation of gene expression	53	363	0.1017	0.0103	9.84	35.56
1	521	spinal cord dorsal/ventral patterning	5	79	0.0096	0.0022	4.27	2.19
1	521	thymus development	53	54	0.1017	0.0015	66.15	96.37
1	521	response to ethanol	2	23	0.0038	0.0007	5.86	1.34
1	521	positive regulation of cell development	18	19	0.0345	0.0005	63.86	31.77
