cluster	cluster_size	go_term	k_in_cluster	K_in_atlas	cluster_freq	bg_freq	enrichment_ratio	log10_p	rank
0	224	intein-mediated protein splicing	223	450	0.9955	0.0319	31.17	300.0	1
0	224	protein autoprocessing	224	453	1.0	0.0322	31.1	300.0	2
0	224	peptidase activity	224	453	1.0	0.0322	31.1	300.0	3
0	224	cell-cell signaling	224	458	1.0	0.0325	30.76	300.0	4
0	224	cell fate specification	220	451	0.9821	0.032	30.68	300.0	5
1	368	acetylesterase activity	353	1090	0.9592	0.0774	12.4	300.0	1
1	368	lipid catabolic process	344	1110	0.9348	0.0788	11.87	300.0	2
1	368	sterol ester esterase activity	356	2099	0.9674	0.149	6.49	284.96	3
1	368	triacylglycerol lipase activity	353	2062	0.9592	0.1464	6.55	281.2	4
1	368	pancreatic juice secretion	32	89	0.087	0.0063	13.77	27.64	5
10	572	succinyl-CoA hydrolase activity	563	569	0.9843	0.0404	24.37	300.0	1
10	572	acetyl-CoA hydrolase activity	563	569	0.9843	0.0404	24.37	300.0	2
10	572	acetoacetyl-CoA hydrolase activity	563	569	0.9843	0.0404	24.37	300.0	3
10	572	hydroxymethylglutaryl-CoA hydrolase activity	563	569	0.9843	0.0404	24.37	300.0	4
10	572	peroxisome organization	479	485	0.8374	0.0344	24.33	300.0	5
11	252	coenzyme A diphosphatase activity	241	881	0.9563	0.0625	15.29	286.52	1
11	252	lipid metabolic process	9	1403	0.0357	0.0996	0.36	0.0	2
12	83	protein ubiquitination	81	82	0.9759	0.0058	167.68	209.75	1
12	83	canalicular bile acid transmembrane transporter activity	81	82	0.9759	0.0058	167.68	209.75	2
12	83	recycling endosome membrane	81	87	0.9759	0.0062	158.04	202.96	3
12	83	regulation of fatty acid beta-oxidation	79	80	0.9518	0.0057	167.63	202.55	4
12	83	positive regulation of bile acid secretion	79	80	0.9518	0.0057	167.63	202.55	5
13	186	regulation of membrane potential	181	1212	0.9731	0.086	11.31	189.4	1
13	186	lysosome organization	181	1281	0.9731	0.0909	10.7	184.71	2
13	186	negative regulation of macromolecule metabolic process	179	1208	0.9624	0.0857	11.22	184.6	3
13	186	protein catabolic process	179	1210	0.9624	0.0859	11.21	184.46	4
13	186	autophagy	181	1299	0.9731	0.0922	10.55	183.53	5
14	383	triglyceride catabolic process	374	1003	0.9765	0.0712	13.72	300.0	1
14	383	monoacylglycerol lipase activity	377	1012	0.9843	0.0718	13.7	300.0	2
14	383	lipid droplet	377	1053	0.9843	0.0747	13.17	300.0	3
14	383	caveola	377	1171	0.9843	0.0831	11.84	300.0	4
14	383	triacylglycerol lipase activity	361	2062	0.9426	0.1464	6.44	279.58	5
15	110	sterol transfer activity	19	19	0.1727	0.0013	128.08	40.75	1
15	110	sterol binding	22	32	0.2	0.0023	88.06	39.55	2
15	110	perinuclear endoplasmic reticulum	15	19	0.1364	0.0013	101.12	28.47	3
15	110	phospholipid transport	15	28	0.1364	0.002	68.62	24.51	4
15	110	sterol transport	14	42	0.1273	0.003	42.69	19.23	5
16	220	monoacylglycerol lipase activity	219	1012	0.9955	0.0718	13.86	258.49	1
16	220	lipid droplet	219	1053	0.9955	0.0747	13.32	254.24	2
16	220	triglyceride catabolic process	217	1003	0.9864	0.0712	13.86	253.1	3
16	220	caveola	219	1171	0.9955	0.0831	11.98	243.0	4
16	220	triacylglycerol lipase activity	214	2062	0.9727	0.1464	6.65	172.07	5
17	182	cholesterol 24-hydroxylase activity	125	1202	0.6868	0.0853	8.05	90.32	1
17	182	presynapse	125	1207	0.6868	0.0857	8.02	90.09	2
17	182	postsynapse	125	1209	0.6868	0.0858	8.0	90.0	3
17	182	cholesterol catabolic process	125	1240	0.6868	0.088	7.8	88.61	4
17	182	dendrite	126	1306	0.6923	0.0927	7.47	87.15	5
18	204	7-beta-hydroxysteroid dehydrogenase (NADP+) activity	139	416	0.6814	0.0295	23.08	170.04	1
18	204	11-beta-hydroxysteroid dehydrogenase (NADP+) activity	137	414	0.6716	0.0294	22.85	166.37	2
18	204	steroid binding	141	783	0.6912	0.0556	12.44	130.24	3
18	204	steroid catabolic process	96	439	0.4706	0.0312	15.1	90.51	4
18	204	NADP binding	54	81	0.2647	0.0057	46.04	81.39	5
19	445	hydroperoxy icosatetraenoate dehydratase activity	444	507	0.9978	0.036	27.73	300.0	1
19	445	retinol metabolic process	386	461	0.8674	0.0327	26.51	300.0	2
19	445	hormone biosynthetic process	391	589	0.8787	0.0418	21.02	300.0	3
19	445	steroid 17-alpha-monooxygenase activity	395	628	0.8876	0.0446	19.91	300.0	4
19	445	progesterone metabolic process	391	703	0.8787	0.0499	17.61	300.0	5
2	496	lipid binding	476	1410	0.9597	0.1001	9.59	300.0	1
2	496	acetyl-CoA C-myristoyltransferase activity	492	1462	0.9919	0.1038	9.56	300.0	2
2	496	acetyl-CoA C-acyltransferase activity	492	1462	0.9919	0.1038	9.56	300.0	3
2	496	lipid metabolic process	454	1403	0.9153	0.0996	9.19	300.0	4
2	496	peroxisome	443	1419	0.8931	0.1007	8.87	300.0	5
20	103	ABC-type glutathione S-conjugate transporter activity	103	249	1.0	0.0177	56.58	191.13	1
20	103	basolateral plasma membrane	103	470	1.0	0.0334	29.98	157.2	2
20	103	leukotriene transport	82	161	0.7961	0.0114	69.67	148.62	3
20	103	ABC-type xenobiotic transporter activity	103	1015	1.0	0.072	13.88	119.83	4
20	103	apical plasma membrane	102	1119	0.9903	0.0794	12.47	112.13	5
21	381	lipid binding	349	1410	0.916	0.1001	9.15	300.0	1
21	381	lipid metabolic process	345	1403	0.9055	0.0996	9.09	300.0	2
21	381	acetyl-CoA C-acyltransferase activity	349	1462	0.916	0.1038	8.83	300.0	3
21	381	acetyl-CoA C-myristoyltransferase activity	348	1462	0.9134	0.1038	8.8	300.0	4
21	381	peroxisome	323	1419	0.8478	0.1007	8.42	270.42	5
22	252	11-beta-hydroxysteroid dehydrogenase (NADP+) activity	251	414	0.996	0.0294	33.9	300.0	1
22	252	7-beta-hydroxysteroid dehydrogenase (NADP+) activity	249	416	0.9881	0.0295	33.46	300.0	2
22	252	steroid catabolic process	235	439	0.9325	0.0312	29.93	300.0	3
22	252	steroid binding	249	783	0.9881	0.0556	17.78	300.0	4
22	252	glucocorticoid catabolic process	15	68	0.0595	0.0048	12.33	12.11	5
23	181	carbohydrate metabolic process	134	506	0.7403	0.0359	20.61	158.44	1
23	181	regulation of membrane lipid distribution	60	72	0.3315	0.0051	64.87	105.08	2
23	181	regulation of microtubule polymerization	60	72	0.3315	0.0051	64.87	105.08	3
23	181	regulation of actin filament polymerization	60	72	0.3315	0.0051	64.87	105.08	4
23	181	central nervous system neuron development	60	72	0.3315	0.0051	64.87	105.08	5
24	83	negative regulation of cholesterol import	58	58	0.6988	0.0041	169.75	141.18	1
24	83	negative regulation of lipid catabolic process	58	58	0.6988	0.0041	169.75	141.18	2
24	83	receptor ligand activity	59	61	0.7108	0.0043	164.18	140.67	3
24	83	phospholipid catabolic process	57	57	0.6867	0.004	169.75	138.45	4
24	83	positive regulation of lipid catabolic process	57	57	0.6867	0.004	169.75	138.45	5
25	200	cholesterol 24-hydroxylase activity	200	1202	1.0	0.0853	11.72	220.8	1
25	200	presynapse	200	1207	1.0	0.0857	11.67	220.41	2
25	200	postsynapse	200	1209	1.0	0.0858	11.65	220.25	3
25	200	cholesterol catabolic process	200	1240	1.0	0.088	11.36	217.85	4
25	200	dendrite	200	1306	1.0	0.0927	10.79	212.95	5
26	77	caveola assembly	66	73	0.8571	0.0052	165.43	158.99	1
26	77	T cell costimulation	66	73	0.8571	0.0052	165.43	158.99	2
26	77	regulation of cytosolic calcium ion concentration	66	75	0.8571	0.0053	161.02	157.1	3
26	77	negative regulation of endothelial cell proliferation	64	71	0.8312	0.005	164.93	152.98	4
26	77	focal adhesion	65	76	0.8442	0.0054	156.49	152.38	5
27	313	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity	305	436	0.9744	0.0309	31.49	300.0	1
27	313	cholate 7-alpha-dehydrogenase (NAD+) activity	305	438	0.9744	0.0311	31.34	300.0	2
27	313	androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity	308	476	0.984	0.0338	29.13	300.0	3
27	313	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	309	508	0.9872	0.0361	27.38	300.0	4
27	313	testosterone dehydrogenase (NAD+) activity	305	526	0.9744	0.0373	26.1	300.0	5
28	164	sterol 14-demethylase activity	164	529	1.0	0.0375	26.63	245.68	1
28	164	cholesterol biosynthetic process	126	282	0.7683	0.02	38.38	191.03	2
28	164	heme binding	164	2643	1.0	0.1876	5.33	121.02	3
28	164	small molecule biosynthetic process	24	26	0.1463	0.0018	79.3	44.67	4
28	164	negative regulation of protein catabolic process	13	16	0.0793	0.0011	69.8	22.62	5
29	159	dendritic spine membrane	150	176	0.9434	0.0125	75.52	300.0	1
29	159	early endosome	150	179	0.9434	0.0127	74.25	300.0	2
29	159	cytoplasmic vesicle membrane	150	182	0.9434	0.0129	73.03	300.0	3
29	159	recycling endosome	150	184	0.9434	0.0131	72.24	300.0	4
29	159	postsynaptic density	150	205	0.9434	0.0146	64.84	294.52	5
3	66	very-long-chain 3-oxoacyl-CoA reductase activity	26	26	0.3939	0.0018	213.47	63.04	1
3	66	fatty acid elongase complex	20	20	0.303	0.0014	213.47	47.98	2
3	66	fatty acid elongation, saturated fatty acid	20	20	0.303	0.0014	213.47	47.98	3
3	66	fibronectin binding	20	20	0.303	0.0014	213.47	47.98	4
3	66	testosterone dehydrogenase (NADP+) activity	24	56	0.3636	0.004	91.49	42.38	5
30	104	monoacylglycerol lipase activity	92	1012	0.8846	0.0718	12.32	92.06	1
30	104	lipid droplet	92	1053	0.8846	0.0747	11.84	90.41	2
30	104	caveola	92	1171	0.8846	0.0831	10.64	86.03	3
30	104	triglyceride catabolic process	87	1003	0.8365	0.0712	11.75	82.75	4
30	104	diacylglycerol lipase activity	41	101	0.3942	0.0072	54.99	62.95	5
31	41	glucuronosyltransferase activity	27	27	0.6585	0.0019	343.63	73.42	1
31	41	enzyme inhibitor activity	15	15	0.3659	0.0011	343.63	39.31	2
31	41	flavone metabolic process	15	15	0.3659	0.0011	343.63	39.31	3
31	41	UDP-glycosyltransferase activity	15	21	0.3659	0.0015	245.45	34.58	4
31	41	sterol metabolic process	17	53	0.4146	0.0038	110.22	31.31	5
32	563	acetylesterase activity	560	1090	0.9947	0.0774	12.86	300.0	1
32	563	lipid catabolic process	556	1110	0.9876	0.0788	12.53	300.0	2
32	563	triacylglycerol lipase activity	552	2062	0.9805	0.1464	6.7	300.0	3
32	563	sterol ester esterase activity	560	2099	0.9947	0.149	6.68	300.0	4
32	563	cholinesterase activity	30	48	0.0533	0.0034	15.64	29.71	5
33	56	oxysterol 7-alpha-hydroxylase activity	48	307	0.8571	0.0218	39.34	72.32	1
33	56	bile acid biosynthetic process	51	427	0.9107	0.0303	30.05	72.23	2
