cluster	family	n_substrates	observed	null_mean	null_std	z_score	p_specialist	q_specialist	p_promiscuous	q_promiscuous	p_two_sided
0	Hedgehog protein	2	0.6567	0.2273	0.1081	3.973	0.01	0.01132	0.9905	1.0	0.01999
1	Carboxylic ester hydrolase	11	0.2758	0.231	0.0251	1.787	0.05297	0.05587	0.94753	1.0	0.10595
2	Sterol carrier protein 2	19	0.282	0.2316	0.0177	2.849	0.0065	0.0082	0.994	1.0	0.01299
3	G-protein coupled estrogen receptor 1	27	0.2581	0.2307	0.0145	1.891	0.04448	0.04757	0.95602	1.0	0.08896
4	Broad substrate specificity ATP-binding cassette transporter ABCG2	3	0.323	0.2346	0.0736	1.202	0.11544	0.11544	0.88506	1.0	0.23088
5	Cholesterol 24-hydroxylase	26	0.3781	0.2311	0.0149	9.849	0.0005	0.00077	1.0	1.0	0.001
6	Non-lysosomal glucosylceramidase	10	0.4206	0.2311	0.0272	6.976	0.0005	0.00077	1.0	1.0	0.001
7	Glucosylceramidase	20	0.2823	0.2307	0.0176	2.942	0.0095	0.01092	0.991	1.0	0.01899
8	24-hydroxycholesterol 7-alpha-hydroxylase	39	0.2772	0.231	0.0114	4.068	0.0005	0.00077	1.0	1.0	0.001
9	Peroxisomal coenzyme A diphosphatase NUDT7	13	0.3558	0.231	0.0233	5.354	0.0005	0.00077	1.0	1.0	0.001
10	Acyl-coenzyme A thioesterase 8	17	0.3104	0.2319	0.0187	4.194	0.0005	0.00077	1.0	1.0	0.001
11	Acyl-coenzyme A diphosphatase NUDT19	17	0.5737	0.2314	0.0193	17.698	0.0005	0.00077	1.0	1.0	0.001
12	Bile salt export pump	10	0.5805	0.2307	0.0275	12.699	0.0005	0.00077	1.0	1.0	0.001
13	Glucosylceramidase	7	0.5434	0.2316	0.0344	9.07	0.0005	0.00077	1.0	1.0	0.001
14	Hormone-sensitive lipase	8	0.4531	0.2309	0.0313	7.094	0.0005	0.00077	1.0	1.0	0.001
15	Oxysterol-binding protein-related protein 8	65	0.2551	0.231	0.0087	2.783	0.005	0.00653	0.9955	1.0	0.01
