cluster	family	original_type	refined_category	refined_frac	observed	n_proteins
0	Hedgehog protein	Other	Other		0.6567	224
1	Carboxylic ester hydrolase	Enzyme	EC 3	0.973	0.2758	368
2	Sterol carrier protein 2	Enzyme	EC 2	0.992	0.282	496
3	G-protein coupled estrogen receptor 1	Enzyme	EC 1	1.0	0.2581	66
4	Broad substrate specificity ATP-binding cassette transporter ABCG2	Transporter	Transporter		0.323	265
5	Cholesterol 24-hydroxylase	Enzyme	EC 1	1.0	0.3781	713
6	Non-lysosomal glucosylceramidase	Other	Other		0.4206	50
7	Glucosylceramidase	Other	Other		0.2823	281
8	24-hydroxycholesterol 7-alpha-hydroxylase	Enzyme	EC 1	1.0	0.2772	268
9	Peroxisomal coenzyme A diphosphatase NUDT7	Other	Other		0.3558	388
10	Acyl-coenzyme A thioesterase 8	Enzyme	EC 3	0.988	0.3104	572
11	Acyl-coenzyme A diphosphatase NUDT19	Other	Other		0.5737	252
12	Bile salt export pump	Transporter	Transporter		0.5805	83
13	Glucosylceramidase	Other	Other		0.5434	186
14	Hormone-sensitive lipase	Other	Other		0.4531	383
15	Oxysterol-binding protein-related protein 8	Mixed	Mixed		0.2551	110
16	Hormone-sensitive lipase	Other	Other		0.6656	220
17	Cholesterol 24-hydroxylase	Enzyme	EC 1	1.0	0.2717	182
18	11-beta-hydroxysteroid dehydrogenase 1	Enzyme	EC 1	0.96	0.2535	204
19	Cytochrome P450 1A	Other	Other		0.3188	445
20	Multidrug resistance-associated protein 4	Transporter	Transporter		0.4848	103
21	Sterol carrier protein 2	Enzyme	EC 2	0.969	0.284	381
22	11-beta-hydroxysteroid dehydrogenase 1	Enzyme	EC 1	1.0	0.3111	252
23	Non-lysosomal glucosylceramidase	Other	Other		0.2775	181
24	Apolipoprotein A-II	Transporter	Transporter		0.3573	83
25	Cholesterol 24-hydroxylase	Enzyme	EC 1	1.0	0.4341	200
26	Caveolin	Other	Other		0.4006	77
27	3-hydroxyacyl-CoA dehydrogenase type-2	Enzyme	EC 1	1.0	0.3235	313
28	Lanosterol 14-alpha demethylase	Enzyme	EC 1	1.0	0.3678	164
29	G-protein coupled estrogen receptor 1	Receptor	Receptor		0.4925	159
30	Hormone-sensitive lipase	Other	Other		0.3008	104
31	Delta(24)-sterol reductase	Other	Other		0.3269	41
32	Carboxylic ester hydrolase	Enzyme	EC 3	1.0	0.3612	563
33	24-hydroxycholesterol 7-alpha-hydroxylase	Enzyme	EC 1	1.0	0.2911	56
34	Estrogen receptor	Receptor	Receptor			82
