cluster	display_id	n_proteins	n_cyps	pct_cyps	dominant_family	dominant_family_pct	n_substrates	mean_tanimoto	umap_cx	umap_cy	is_cyp_cluster
5	6	713	713	100.0	CYP46	99.6	26	0.3781	16.264	5.038	True
25	26	200	200	100.0	CYP46	100.0	20	0.4341	13.871	-0.367	True
28	29	164	164	100.0	CYP51	100.0	12	0.3678	1.026	12.691	True
46	47	11	11	100.0	CYP90	63.6	29	0.4529	-1.27	14.518	True
19	20	445	443	99.6	CYP1	99.3	26	0.3188	5.364	1.572	True
8	9	268	255	95.1	CYP39	92.9	39	0.2772	17.83	-2.433	True
47	48	199	187	94.0	CYP46	59.8	66	0.3011	11.961	-1.318	True
45	46	144	132	91.7	CYP17	90.3	25	0.2954	4.854	3.196	True
33	34	56	50	89.3	CYP39	82.1	38	0.2911	8.615	-1.775	True
17	18	182	128	70.3	CYP46	68.7	44	0.2717	13.683	1.592	True
56	57	73	51	69.9	CYP3	69.9	42	0.263	-0.395	10.53	True
70	71	16	8	50.0	CYP39	50.0	17	0.2823	-10.9	6.629	True
75	76	59	25	42.4	CYP46	27.1	64	0.2786	-2.559	7.11	False
68	69	69	29	42.0	CYP46	23.2	58	0.3183	17.996	0.855	False
62	63	82	29	35.4	CYP3	18.3	29	0.2694	11.617	13.41	False
63	64	89	25	28.1	CYP19	14.6	23	0.3364	0.994	-4.166	False
23	24	181	37	20.4	CYP17	13.3	30	0.2775	-1.997	-4.125	False
3	4	66	11	16.7	CYP51	9.1	27	0.2581	6.839	14.124	False
26	27	77	11	14.3	CYP3	14.3	12	0.4006	7.284	19.769	False
55	56	33	4	12.1	CYP85	9.1	47	0.3089	12.853	7.407	False
38	39	93	7	7.5	CYP4	6.5	20	0.2823	6.019	-2.223	False
7	8	281	20	7.1	CYP51	7.1	20	0.2823	0.062	-0.126	False
74	75	198	11	5.6	CYP17	3.0	99	0.277	8.26	1.561	False
15	16	110	6	5.5	CYP17	5.5	65	0.2551	3.754	0.166	False
30	31	104	5	4.8	CYP51	2.9	22	0.3008	10.396	10.501	False
61	62	63	3	4.8	CYP142	3.2	108	0.2615	-3.686	3.548	False
54	55	46	2	4.3	CYP85	4.3	11	0.4055	17.699	8.366	False
57	58	299	12	4.0	CYP51	4.0	39	0.2727	9.072	5.288	False
64	65	148	5	3.4	CYP85	3.4	42	0.3386	5.322	12.384	False
67	68	311	8	2.6	CYP46	2.6	50	0.3481	-6.125	0.297	False
6	7	50	1	2.0		0.0	10	0.4206	-2.348	10.95	False
21	22	381	7	1.8	CYP1	1.8	43	0.284	-4.193	-0.989	False
18	19	204	1	0.5	CYP51	0.5	87	0.2535	1.215	8.761	False
0	1	224	0	0.0		0.0	2	0.6567	4.243	5.973	False
1	2	368	0	0.0		0.0	11	0.2758	9.944	1.316	False
2	3	496	0	0.0		0.0	19	0.282	-4.89	0.558	False
4	5	265	0	0.0		0.0	3	0.323	2.686	-5.615	False
9	10	388	0	0.0		0.0	13	0.3558	15.0	11.491	False
10	11	572	0	0.0		0.0	17	0.3104	0.956	3.521	False
11	12	252	0	0.0		0.0	17	0.5737	11.801	16.817	False
12	13	83	0	0.0		0.0	10	0.5805	10.467	-6.831	False
13	14	186	0	0.0		0.0	7	0.5434	-7.657	5.753	False
14	15	383	0	0.0		0.0	8	0.4531	7.996	4.71	False
16	17	220	0	0.0		0.0	3	0.6656	11.81	3.755	False
20	21	103	0	0.0		0.0	9	0.4848	4.732	-8.731	False
22	23	252	0	0.0		0.0	30	0.3111	3.384	14.672	False
24	25	83	0	0.0		0.0	23	0.3573	-6.909	11.742	False
27	28	313	0	0.0		0.0	24	0.3235	-1.563	3.923	False
29	30	159	0	0.0		0.0	10	0.4925	4.199	8.764	False
31	32	41	0	0.0		0.0	58	0.3269	-8.272	-2.517	False
32	33	563	0	0.0		0.0	3	0.3612	9.882	0.016	False
34	35	82	0	0.0		0.0	0		19.151	2.624	False
35	36	81	0	0.0		0.0	20	0.3125	8.141	-11.296	False
36	37	191	0	0.0		0.0	2	0.7414	14.801	-3.695	False
37	38	43	0	0.0		0.0	45	0.3143	-1.414	-10.561	False
39	40	168	0	0.0		0.0	44	0.2989	8.095	2.858	False
40	41	342	0	0.0		0.0	3	0.323	3.735	-5.806	False
41	42	69	0	0.0		0.0	0		-11.539	4.205	False
42	43	82	0	0.0		0.0	34	0.3192	-5.86	8.325	False
43	44	205	0	0.0		0.0	2	0.656	0.87	6.567	False
44	45	385	0	0.0		0.0	12	0.3558	1.007	-1.15	False
48	49	46	0	0.0		0.0	61	0.4012	-4.918	-4.946	False
49	50	112	0	0.0		0.0	7	0.5072	18.496	4.613	False
50	51	59	0	0.0		0.0	2	0.6567	6.005	16.262	False
51	52	166	0	0.0		0.0	3	0.323	2.501	-6.76	False
52	53	90	0	0.0		0.0	7	0.5072	-4.211	12.057	False
53	54	40	0	0.0		0.0	16	0.3687	-0.867	-7.231	False
58	59	104	0	0.0		0.0	17	0.3275	5.99	10.308	False
59	60	324	0	0.0		0.0	4	0.7486	1.587	0.057	False
60	61	212	0	0.0		0.0	2	0.6567	10.755	4.829	False
65	66	68	0	0.0		0.0	20	0.356	2.877	2.601	False
66	67	105	0	0.0		0.0	14	0.324	9.527	-3.314	False
69	70	310	0	0.0		0.0	5	0.3529	-5.368	1.832	False
71	72	82	0	0.0		0.0	42	0.3004	2.8	10.352	False
72	73	58	0	0.0		0.0	2	0.6567	-7.818	10.003	False
73	74	35	0	0.0		0.0	36	0.3123	16.406	-5.904	False
