feature	label	n_populated	n_unique_labels	median_enrichment	mean_enrichment	p90_enrichment	median_z	frac_enrichment_gt_2x	frac_enrichment_gt_5x	frac_z_gt_3	median_observed_fraction	median_expected_fraction
ec_top_level	EC top-level (1..7)	13506	6	1.3988606939409631	4.076824328337717	7.433131535498074	2.824396197210877	0.2803682803682804	0.2693050193050193	0.27866052866052865	0.95	0.7148674663112691
ec_subclass	EC subclass (e.g., 1.14)	13506	16	2.8111470860314522	8.209490628230007	8.063283582089552	5.925814930909393	0.956831859722119	0.30507467122371645	0.9639646333308567	0.95	0.3201540056271287
ec_sub_subclass	EC sub-subclass (e.g., 1.14.14)	13506	26	2.96938208747975	11.318311908809896	22.549560632688927	6.183900141278899	0.9695235263509998	0.3249089422433658	0.9676652047870363	0.95	0.3199318821264623
protein_name_first_word	Protein-name first word	34651	298	31.18901890189019	75.61548436938473	144.37916666666666	24.44718560766193	0.9983373683749963	0.9906075897675233	0.9929702768135811	1.0	0.03206256673689071
cyp_family	CYP family (e.g., CYP17)	2574	32	5.829616724738676	9.566834151018458	19.917857142857144	7.651305287535141	0.868066561014263	0.5503169572107766	0.8312202852614897	0.75	0.1114996114996115
cyp_subfamily	CYP subfamily (e.g., CYP17A)	2574	74	8.968641114982578	14.375146775449377	33.21290322580645	10.96950584910933	0.9544530296868646	0.8239121594143961	0.8914192761285076	0.65	0.09829059829059829
genus	Taxonomic genus	35349	1404	29.622067039106145	91.77532177924223	252.49285714285716	7.962834787871028	1.0	0.9653210883421287	0.8809540127475841	0.0	0.0020934114119211295
species_binomial	Species (binomial)	35349	2112	33.1396875	112.95246135031017	294.575	8.126631043355834	1.0	0.9892746773313943	0.9218323941101618	0.0	0.0015559138872386772
is_p450	Cytochrome P450	4792	2	7.3766694490818026	6.8325763253547445	7.3766694490818026	11.293068182811792	0.9723444374607165	0.9044626021370208	0.952650324743348	1.0	0.1355625335935953
is_bsh	Bile salt hydrolase	41	2	862.1707317073171	862.170731707317	862.1707317073171	131.2380075822029	1.0	1.0	1.0	1.0	0.001159863079577923
is_hsd	Hydroxysteroid dehydrogenase	3800	2	9.302368421052632	8.906643162898005	9.302368421052632	12.885936846851788	0.9865328756271455	0.9728016899920782	0.9820438341695273	1.0	0.10749950493649042
is_reductase	Reductase/dehydrogenase	6148	2	5.749674690956408	5.657496475289221	5.749674690956408	9.746460579057823	0.99267578125	0.9650065104166666	0.9905598958333334	1.0	0.17392288324987978
is_receptor	Receptor	1384	2	25.541184971098268	24.162889753021542	25.541184971098268	22.154541282138194	0.9963636363636363	0.9876363636363636	0.9876363636363636	1.0	0.039152451271605986
is_transporter	Transporter/carrier	6407	2	5.517246761354769	5.388861523875656	5.517246761354769	9.504995277594585	0.9887517575378847	0.9348539290735822	0.9885955319481331	1.0	0.1812498231916037
