feature	n_populated	n_true_or_nonblank	pct_true_or_nonblank	unique_values
ec_full	13506	13506	38.21	99
ec_top_level	13506	13506	38.21	6
ec_subclass	13506	13506	38.21	16
ec_sub_subclass	13506	13506	38.21	26
protein_name_first_word	34651	34651	98.03	298
is_p450	35349	4792	13.56	2
cyp_family	2574	2574	7.28	32
cyp_subfamily	2574	2574	7.28	74
is_bsh	35349	41	0.12	2
is_hsd	35349	3800	10.75	2
is_reductase	35349	6148	17.39	2
is_receptor	35349	1384	3.92	2
is_transporter	35349	6407	18.12	2
genus	35349	35349	100.0	1404
species_binomial	35349	35349	100.0	2112
length_aa	35349	35349	100.0	1582
shannon_entropy	35349	35349	100.0	3317
is_literature_recruited	35349	35349	100.0	2
has_ec	35349	13506	38.21	2
has_rhea	35349	32855	92.94	2
