cluster	display_id	n_proteins_in_cluster	n_proteins_with_known_substrate	n_unique_substrates	n_pairs	mean_tanimoto	median_tanimoto	std_tanimoto	min_tanimoto	max_tanimoto	mean_tanimoto_adj
0	1	224	224	2	1	0.6567	0.6567	0.0	0.6567	0.6567	
1	2	368	368	11	55	0.2758	0.2162	0.1823	0.0818	0.9231	0.2779
2	3	496	496	19	171	0.282	0.2222	0.1779	0.0802	1.0	0.2831
3	4	66	42	27	351	0.2581	0.1772	0.1654	0.0833	0.7759	0.2583
4	5	265	265	3	3	0.323	0.3684	0.1077	0.1744	0.4262	
5	6	713	713	26	325	0.3781	0.3188	0.1733	0.1081	0.8596	0.375
6	7	50	39	10	45	0.4206	0.3553	0.2141	0.1122	1.0	0.4206
7	8	281	281	20	190	0.2823	0.191	0.1987	0.0864	1.0	0.2826
8	9	268	266	39	741	0.2772	0.2295	0.1589	0.0864	1.0	0.2798
9	10	388	388	13	78	0.3558	0.2984	0.2457	0.08	0.913	0.3604
10	11	572	570	17	136	0.3104	0.229	0.1861	0.0828	0.9127	0.3073
11	12	252	251	17	136	0.5737	0.5655	0.1322	0.3008	0.8438	0.5716
12	13	83	83	10	45	0.5805	0.6111	0.2068	0.2333	1.0	0.5805
13	14	186	184	7	21	0.5434	0.64	0.2294	0.186	1.0	
14	15	383	380	8	28	0.4531	0.5347	0.2515	0.1364	0.8286	
15	16	110	75	65	2080	0.2551	0.2095	0.1343	0.0802	1.0	0.2519
16	17	220	220	3	3	0.6656	0.6567	0.0442	0.6164	0.7237	
17	18	182	181	44	946	0.2717	0.2169	0.16	0.0796	0.8696	0.2677
18	19	204	203	87	3741	0.2535	0.2083	0.1428	0.0705	1.0	0.2524
19	20	445	445	26	325	0.3188	0.2576	0.1521	0.1212	0.8036	0.321
20	21	103	103	9	36	0.4848	0.5989	0.2965	0.1111	1.0	
21	22	381	365	43	903	0.284	0.2419	0.1449	0.0779	1.0	0.2851
22	23	252	252	30	435	0.3111	0.2429	0.1766	0.1023	1.0	0.3112
23	24	181	180	30	435	0.2775	0.2029	0.1625	0.1039	1.0	0.2827
24	25	83	6	23	253	0.3573	0.2899	0.1922	0.1429	1.0	0.3577
25	26	200	200	20	190	0.4341	0.4118	0.1747	0.1481	0.8596	0.4366
26	27	77	11	12	66	0.4006	0.3793	0.1654	0.1642	0.7551	0.4002
27	28	313	313	24	276	0.3235	0.2555	0.1739	0.125	1.0	0.3246
28	29	164	164	12	66	0.3678	0.4151	0.2509	0.0864	0.7759	0.3694
29	30	159	3	10	45	0.4925	0.5867	0.2887	0.1075	1.0	0.4925
30	31	104	101	22	231	0.3008	0.2	0.2133	0.0833	1.0	0.2992
31	32	41	34	58	1653	0.3269	0.2979	0.1743	0.1087	0.9355	0.3256
32	33	563	560	3	3	0.3612	0.2812	0.1846	0.186	0.6164	
33	34	56	56	38	703	0.2911	0.2254	0.1665	0.0864	0.8596	0.2922
34	35	82	0	0	0						
35	36	81	81	20	190	0.3125	0.2361	0.1789	0.1316	1.0	0.3117
36	37	191	7	2	1	0.7414	0.7414	0.0	0.7414	0.7414	
37	38	43	43	45	990	0.3143	0.2727	0.1394	0.125	1.0	0.313
38	39	93	88	20	190	0.2823	0.191	0.1987	0.0864	1.0	0.2796
39	40	168	158	44	946	0.2989	0.2548	0.1539	0.0728	1.0	0.2947
40	41	342	336	3	3	0.323	0.3684	0.1077	0.1744	0.4262	
41	42	69	0	0	0						
42	43	82	82	34	561	0.3192	0.2763	0.1864	0.0779	0.9231	0.3188
43	44	205	205	2	1	0.656	0.656	0.0	0.656	0.656	
44	45	385	385	12	66	0.3558	0.3205	0.2125	0.1075	1.0	0.3561
45	46	144	132	25	300	0.2954	0.2381	0.1505	0.1282	0.8136	0.2952
46	47	11	10	29	406	0.4529	0.4143	0.1387	0.2	0.8103	0.4526
47	48	199	194	66	2145	0.3011	0.2436	0.1516	0.1	0.8596	0.3017
48	49	46	42	61	1830	0.4012	0.3423	0.1921	0.1075	1.0	0.4
49	50	112	112	7	21	0.5072	0.4943	0.1939	0.2697	1.0	
50	51	59	1	2	1	0.6567	0.6567	0.0	0.6567	0.6567	
51	52	166	166	3	3	0.323	0.3684	0.1077	0.1744	0.4262	
52	53	90	90	7	21	0.5072	0.4943	0.1939	0.2697	1.0	
53	54	40	40	16	120	0.3687	0.3202	0.1698	0.1442	1.0	0.3689
54	55	46	37	11	55	0.4055	0.2907	0.2275	0.1139	1.0	0.4031
55	56	33	29	47	1081	0.3089	0.2414	0.1771	0.0889	1.0	0.3135
56	57	73	71	42	861	0.263	0.2143	0.1462	0.0833	0.8364	0.2617
57	58	299	299	39	741	0.2727	0.2	0.1679	0.0864	1.0	0.271
58	59	104	103	17	136	0.3275	0.2786	0.1705	0.137	0.7455	0.3243
59	60	324	320	4	6	0.7486	0.7194	0.1239	0.6429	1.0	
60	61	212	212	2	1	0.6567	0.6567	0.0	0.6567	0.6567	
61	62	63	59	108	5778	0.2615	0.2097	0.1599	0.08	1.0	0.2587
62	63	82	48	29	406	0.2694	0.1855	0.1755	0.0833	0.7759	0.2728
63	64	89	26	23	253	0.3364	0.2857	0.1466	0.1429	0.7442	0.336
64	65	148	148	42	861	0.3386	0.2985	0.139	0.1233	1.0	0.3375
65	66	68	68	20	190	0.356	0.3121	0.1565	0.15	1.0	0.3558
66	67	105	16	14	91	0.324	0.25	0.2171	0.0839	1.0	0.3273
67	68	311	308	50	1225	0.3481	0.2955	0.1884	0.0812	1.0	0.3486
68	69	69	69	58	1653	0.3183	0.2817	0.1564	0.0822	0.9231	0.3175
69	70	310	310	5	10	0.3529	0.1857	0.2499	0.1667	0.9231	
70	71	16	16	17	136	0.2823	0.1699	0.2072	0.0864	0.7759	0.284
71	72	82	82	42	861	0.3004	0.25	0.156	0.1075	1.0	0.3017
72	73	58	1	2	1	0.6567	0.6567	0.0	0.6567	0.6567	
73	74	35	32	36	630	0.3123	0.2692	0.16	0.0854	1.0	0.3154
74	75	198	197	99	4851	0.277	0.2381	0.1353	0.0779	1.0	0.2768
75	76	59	59	64	2016	0.2786	0.2361	0.1353	0.0988	0.8596	0.2787
76	77	13	6	1	0						
77	78	9	9	3	3	0.7862	0.7027	0.1314	0.6842	0.9718	
78	79	75	0	0	0						
79	80	67	67	26	325	0.3448	0.2807	0.1783	0.1316	1.0	0.343
80	81	58	0	0	0						
81	82	42	39	38	703	0.3675	0.2907	0.2267	0.1264	1.0	0.3656
