accession	entry_name	protein_names	organism	decision	reason	current_rhea_ids	current_rxn_chebis	current_ligand_chebis
A0A016SKM3	A0A016SKM3_9BILA	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Ancylostoma ceylanicum	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A016VA76	A0A016VA76_9BILA	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Ancylostoma ceylanicum	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A016VXS0	A0A016VXS0_9BILA	(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (3-ketoacyl-	Ancylostoma ceylanicum	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16422']	RHEA:14929;RHEA:24612;RHEA:32711;RHEA:41992	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16422;CHEBI:16469;CHEBI:17263;CHEBI:17347;CHEBI:57319;CHEBI:57540;CHEBI:57945;CHEBI:90726	
A0A017S8M2	A0A017S8M2_ASPRC	sterol 14alpha-demethylase (EC 1.14.14.154)	Aspergillus ruber (strain CBS 135680)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A017SGW5	A0A017SGW5_ASPRC	sterol 14alpha-demethylase (EC 1.14.14.154)	Aspergillus ruber (strain CBS 135680)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A022Q4E5	A0A022Q4E5_ERYGU	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,2	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:20710', 'CHEBI:59411']	RHEA:27321;RHEA:27325;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:20710;CHEBI:20717;CHEBI:57618;CHEBI:58210;CHEBI:59410;CHEBI:59411	CHEBI:30413
A0A022QXB8	A0A022QXB8_ERYGU	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,2	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:20710', 'CHEBI:59411']	RHEA:27321;RHEA:27325;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:20710;CHEBI:20717;CHEBI:57618;CHEBI:58210;CHEBI:59410;CHEBI:59411	CHEBI:30413
A0A022XM30	A0A022XM30_TRISD	sterol 14alpha-demethylase (EC 1.14.14.154)	Trichophyton soudanense CBS 452.61	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A022XPR2	A0A022XPR2_TRISD	sterol 14alpha-demethylase (EC 1.14.14.154)	Trichophyton soudanense CBS 452.61	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A023ENT8	A0A023ENT8_AEDAL	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
