accession	entry_type	annotation_score	inactive_reason	decision
A0A016SKM3	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A016VA76	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A016VXS0	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A017S8M2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A017SGW5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A022Q4E5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A022QXB8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A022XM30	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A022XPR2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A023ENT8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A023EQ83	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A023EUU2	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A023EUU7	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A023F9Q1	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A023FCJ4	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A023FLX5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A023FVV6	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A023I9D7	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A023T480	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A024R5F7	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A026VYY2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A026W7N4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A026WVM4	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A034V8N2	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A034WE56	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A034WG91	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A034WJ56	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A059AGX6	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A059BVS8	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A059IZP5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A059J839	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A060KPY0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A060THG7	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060VP01	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060VP13	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060VRD9	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060W0I4	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060WKQ1	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060WSY4	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060WUP0	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060WWK2	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060WXJ2	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060X0W8	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060X259	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060XAM3	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060XH13	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060XJX7	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060XN76	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060XSJ4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A060XUP5	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060XUS8	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060Y2M9	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060YET8	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060YHB9	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060YM89	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060YSW3	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A060YW61	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A060Z9F8	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061AQZ7	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A061DFW3	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A061GJ30	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A061HW32	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061HXL9	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061HZY3	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A061I189	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061I372	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061I5A6	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061I9I4	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061IFI3	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A061IGU5	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061IL65	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061ILD1	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061ILV4	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A061ILW2	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061IMH9	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061IMV3	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A061ING3	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A067FD17	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A067FGN9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A067FQ45	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A067FY18	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A067K999	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A067R1F2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A067R8L6	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068BEQ2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068F4C8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068F579	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A068F658	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A068F661	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068F753	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A068FB60	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A068FJH4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068FMP4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068GQB1	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068TNV2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068U0U5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A068WH62	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A068YIH2	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A069DY28	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A069DZ84	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A072NYF6	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A072P885	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A072TLG7	UniProtKB unreviewed (TrEMBL)	3.0		DROP_LOWSCORE
A0A072TNC8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A075M075	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A077ZAM7	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A078HGM5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A078IP80	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A078J804	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A078JHN7	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A084VP42	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A084VZD1	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A084W1Y8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A084W583	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A085M3N9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087BL81	Inactive	0.0	Not part of a reference proteome	DROP_INACTIVE
A0A087GK63	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087H9B9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QN79	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QPA8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QPL0	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QPL1	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QQR0	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QSU2	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087QSU3	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087QSU5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QSU6	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QTL3	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QV48	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087QYA0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087R3Y0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087R4C2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087R570	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087RDM0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087RDU2	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087RH11	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087RHS6	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087RKL6	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087T4C6	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087TJN6	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087TZ04	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087TZ07	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087TZ09	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087V3L8	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087V428	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087V6M4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087V8A8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087V8X4	UniProtKB unreviewed (TrEMBL)	3.0		DROP_LOWSCORE
A0A087VF03	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087VFC0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087VFU2	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087VKM7	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087VPC9	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087X389	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087X6V0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XAS9	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XB59	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XBD3	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XBI4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XBR5	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XBS8	UniProtKB unreviewed (TrEMBL)	3.0		DROP_LOWSCORE
A0A087XBZ3	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XHC6	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XJL9	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XKD5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XKG8	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XLL5	UniProtKB unreviewed (TrEMBL)	3.0		DROP_LOWSCORE
A0A087XM96	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XMX9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XP46	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XSF0	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XU87	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XU99	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XUR9	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087XYQ3	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087XYW7	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087Y0E6	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087Y453	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087Y541	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087Y8C9	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087YA98	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087YBX2	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087YFW5	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087YGI1	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087YHV4	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A087YI65	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087YIG9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A087YJ84	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A088M9V8	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A090D8A0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A090KXR0	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A090LHZ4	UniProtKB unreviewed (TrEMBL)	3.0		DROP_LOWSCORE
A0A090MUC9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091CN86	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091CNS7	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091CRS4	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091CS17	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091CSN6	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091CW56	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091CXI4	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091D2Y6	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091D5V5	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091DAN9	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091DC46	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091DD15	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091DEM5	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091DF80	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091DLH8	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091DN83	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
A0A091DPZ1	UniProtKB unreviewed (TrEMBL)	4.0		DROP_LOWSCORE
A0A091DQ53	UniProtKB unreviewed (TrEMBL)	5.0		KEEP
