chebi_id,name,cid,status,n_papers,chars,has_definition
CHEBI:732,5beta-dihydrocortisol,164838,own_literature,5,10802,True
CHEBI:763,algestone,11687,own_literature,5,12795,True
CHEBI:776,16alpha-hydroxyestrone,115116,own_literature,5,9875,True
CHEBI:799,"3,17-dioxoandrost-4-en-19-al",92854,no_literature,0,715,True
CHEBI:1156,2-hydroxyestrone,440623,own_literature,5,9181,True
CHEBI:1189,2-methoxyestrone,440624,own_literature,5,9129,True
CHEBI:1294,"(20R,22R)-20,22-dihydroxycholesterol",6453841,own_literature,5,9986,True
CHEBI:1301,(22S)-22-hydroxycholesterol,168038,own_literature,5,7346,True
CHEBI:1307,24-methylenecycloartanol,94204,own_literature,5,8116,True
CHEBI:1624,3-oxo-5beta-steroid,439810,own_literature,1,2775,True
CHEBI:1712,3alpha-hydroxy-5beta-pregnan-20-one,31402,own_literature,1,1454,True
CHEBI:1722,3beta-hydroxy-Delta(5)-steroid,,own_literature,5,9534,True
CHEBI:1949,4alpha-methylzymosterol,22212495,own_literature,5,8283,True
CHEBI:2150,5beta-dihydrotestosterone,11302,own_literature,5,7679,True
CHEBI:2288,"7alpha,12alpha-dihydroxy-5beta-cholestan-3-one",5284271,no_literature,0,902,True
CHEBI:2290,7alpha-hydroxy-5beta-cholestan-3-one,5284270,no_literature,0,856,True
CHEBI:2495,adrenosterone,223997,own_literature,5,8029,True
CHEBI:2710,"androst-5-ene-3beta,17beta-diol",10634,own_literature,5,9265,True
CHEBI:2938,avenacoside B,71581002,own_literature,5,9874,True
CHEBI:3663,cholesteryl palmitate,246520,own_literature,5,9218,True
CHEBI:4629,diosgenin,99474,own_literature,5,10505,True
CHEBI:4648,hop-22(29)-ene,92155,own_literature,5,7843,True
CHEBI:6570,lupeol,259846,own_literature,5,8714,True
CHEBI:7466,nandrolone,9904,own_literature,5,8917,True
CHEBI:8387,Pregnanediol,219833,own_literature,5,6997,True
CHEBI:8588,protodioscin,441891,own_literature,5,10333,True
CHEBI:9407,taurochenodeoxycholate,9548902,own_literature,5,9584,True
CHEBI:9595,tigogenin,99516,own_literature,5,6374,True
CHEBI:11867,3-oxo-5beta-cholanate,9548901,own_literature,2,3028,True
CHEBI:11893,"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate",9548790,own_literature,1,1508,True
CHEBI:11901,"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanate",9548900,no_literature,0,877,True
