Entry,Paper_ShortRef,Paper_Citation,Paper_DOI,Species,Strain,Identifier_Type,Sequence_Length,Recruitment_Rationale,Evidence_Level,Sequence_Fetch_Source,In_Atlas_UMAP
P0DXD2,Rimal 2024,"Rimal, B. et al. Bile salt hydrolase catalyses formation of amine-conjugated bile acids. Nature 626, 859–863 (2024)",10.1038/s41586-023-06990-w,Bifidobacterium longum subsp. longum,NCTC 11818 (= ATCC 15707 / DSM 20219 / JCM 1217 / E194b),UniProt,317,"Primary purified enzyme (BlBSH). Biochemistry demonstrated the previously-unknown amine N-acyltransferase activity of BSH — conjugates amino acids to bile acids to form BBAAs. Structure-guided mutagenesis (C1A, R17A, N172A, R225A, T2A, W21F, T171A, K264A, D267A) mapped catalytic residues.",Biochemical (purified enzyme + kinetics + mutagenesis),UniProt REST (Swiss-Prot curated),yes
Q5LF84,Rimal 2024,"Rimal, B. et al. Bile salt hydrolase catalyses formation of amine-conjugated bile acids. Nature 626, 859–863 (2024)",10.1038/s41586-023-06990-w,Bacteroides fragilis,NCTC 9343 (= ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / VPI 2553),UniProt,331,In vivo genetic evidence for BBAA biosynthesis. B. fragilis Δbsh strain loses BBAA production; complementation with wild-type bsh restores it. Shows the amine N-acyltransferase activity operates in a live commensal gut bacterium.,Genetic (KO / complementation in vivo),UniProt REST,yes
WP_243289361,Guzior 2024,"Guzior, D.V. et al. Bile salt hydrolase acyltransferase activity expands bile acid diversity. Nature 626, 852–858 (2024)",10.1038/s41586-024-07017-8,Clostridium perfringens,ATCC 13124,RefSeq_WP,329,"CpBSH/T — the only Guzior 2024 protein with direct biochemical evidence. Bifunctional: bile salt hydrolase (EC 3.5.1.24; pH 3-7) AND novel amine N-acyltransferase (EC 2.3.1.-; pH optimum 5.3). Peak acyl transfer = 7% of hydrolysis rate. Substrate scope: 16/20 amino acids from TCA, 12/20 from CA; Pro & Asp never conjugated. Mutants: C2A abolishes both activities (shared Cys2 nucleophile); N82Y preserves activity but shifts specificity (loses GluCA/LysCA/LeuCA, gains AlaCA). Structure: PDB 2BJG. Other Guzior 2024 Table 1 entries deliberately NOT added — no protein-level biochemical evidence in the paper.",Biochemical (kinetics + mutagenesis + structure),NCBI efetch (RefSeq),PENDING (embed + project)
C8WL28,McCurry 2024,"McCurry, M.D. et al. Gut bacteria convert glucocorticoids into progestins in the presence of hydrogen gas. Cell 187, 2949-2963.e19 (2024)",10.1016/j.cell.2024.05.005,Eggerthella lenta,DSM 2243 (= ATCC 25559 / CCUG 17323 / JCM 9979 / KCTC 3265 / NCTC 11813 / VPI 0255),UniProt,281,Elen_2451 — one of four proteins in the elen_2451-2454 cluster responsible for 21-dehydroxylation of glucocorticoids. Cluster identified via ATc-inducible expression + LC-MS activity assay in E. lenta.,Genetic (cluster identification + heterologous activity),"UniProt REST (from 2009 E. lenta genome deposit, DOI 10.4056/sigs.33592)",yes
C8WL29,McCurry 2024,"McCurry, M.D. et al. Gut bacteria convert glucocorticoids into progestins in the presence of hydrogen gas. Cell 187, 2949-2963.e19 (2024)",10.1016/j.cell.2024.05.005,Eggerthella lenta,DSM 2243,UniProt,203,Elen_2452 — ferredoxin (4Fe-4S) component of the elen_2451-2454 21-dehydroxylation cluster.,Genetic (cluster identification),UniProt REST (2009 E. lenta genome deposit),yes
C8WL30,McCurry 2024,"McCurry, M.D. et al. Gut bacteria convert glucocorticoids into progestins in the presence of hydrogen gas. Cell 187, 2949-2963.e19 (2024)",10.1016/j.cell.2024.05.005,Eggerthella lenta,DSM 2243,UniProt,909,Elen_2453 — molybdopterin oxidoreductase/dehydrogenase in the elen_2451-2454 21-dehydroxylation cluster.,Genetic (cluster identification),UniProt REST (2009 E. lenta genome deposit),yes
C8WL31,McCurry 2024,"McCurry, M.D. et al. Gut bacteria convert glucocorticoids into progestins in the presence of hydrogen gas. Cell 187, 2949-2963.e19 (2024)",10.1016/j.cell.2024.05.005,Eggerthella lenta,DSM 2243,UniProt,307,Elen_2454 — SPFH / band-7 / stomatin-prohibitin family membrane protein in the elen_2451-2454 21-dehydroxylation cluster.,Genetic (cluster identification),UniProt REST (2009 E. lenta genome deposit),yes
MFU7515415,Jacoby 2025,"Jacoby, C. et al. (Cell Host & Microbe, 2025)",10.1016/j.chom.2025.09.014,Clostridium steroidoreducens,HCS.1,NCBI_Genome,254,OsrA — one of three genes (OsrABC) in the oxidative steroid reduction pathway identified in C. steroidoreducens HCS.1.,Genetic (pathway identification),NCBI genome (from paper's supplementary genome),yes
MFU7516964,Jacoby 2025,"Jacoby, C. et al. (Cell Host & Microbe, 2025)",10.1016/j.chom.2025.09.014,Clostridium steroidoreducens,HCS.1,NCBI_Genome,620,OsrB — component of the OsrABC pathway from C. steroidoreducens HCS.1.,Genetic (pathway identification),NCBI genome,yes
MFU7517346,Jacoby 2025,"Jacoby, C. et al. (Cell Host & Microbe, 2025)",10.1016/j.chom.2025.09.014,Clostridium steroidoreducens,HCS.1,NCBI_Genome,645,OsrC — component of the OsrABC pathway from C. steroidoreducens HCS.1.,Genetic (pathway identification),NCBI genome,yes
