accession	cluster_id	nn_identity	is_rep	backfilled
A0A364N289	0	0.7591	True	False
A2QNQ5	0	0.42450000000000004	False	False
A7ERM5	0	0.4864	False	False
C4B4E5	0	0.45020000000000004	False	False
I1S8Q3	0	0.4608	False	False
Q0UY53	0	0.7591	False	False
Q2U0C3	0	0.41619999999999996	False	False
Q4WID6	0	0.4057	False	False
Q5B4C9	0	0.4105	False	False
A0A218U9A4	1	0.9926999999999999	True	False
A0A034WE56	1	0.40869999999999995	False	False
A0A060VP13	1	0.5561	False	False
A0A060W0I4	1	0.5521	False	False
A0A060XN76	1	0.4955	False	False
A0A060XSJ4	1	0.5677	False	False
A0A060XUS8	1	0.5056	False	False
A0A060YHB9	1	0.5502	False	False
A0A060YSW3	1	0.5643	False	False
A0A060YW61	1	0.5446	False	False
A0A067R8L6	1	0.5218	False	False
A0A077ZAM7	1	0.4033	False	False
A0A084W583	1	0.4682	False	False
A0A085M3N9	1	0.4153	False	False
A0A087XM96	1	0.491	False	False
A0A087XU87	1	0.4654	False	False
A0A087XU99	1	0.5351	False	False
A0A087YBX2	1	0.5474	False	False
A0A087YJ84	1	0.5787	False	False
A0A091GJG3	1	0.6103999999999999	False	False
A0A091VRB0	1	0.5305	False	False
A0A093NMJ8	1	0.6420999999999999	False	False
A0A096LXB2	1	0.5347999999999999	False	False
A0A096NG69	1	0.7676999999999999	False	False
A0A096NQ75	1	0.5791	False	False
A0A096NWF2	1	0.5355	False	False
A0A0A0S765	1	0.588	False	False
A0A0A1WD26	1	0.4004	False	False
A0A0B4RY43	1	0.5756	False	False
A0A0D3S0E3	1	0.46270000000000006	False	False
A0A0D9R2D0	1	0.5505	False	False
A0A0E4B843	1	0.46270000000000006	False	False
A0A0K2V032	1	0.4899	False	False
A0A0K8V4I4	1	0.40490000000000004	False	False
A0A0L0CH06	1	0.4153	False	False
A0A0M4EMR8	1	0.43920000000000003	False	False
A0A0N8K0B1	1	0.563	False	False
A0A0N8K250	1	0.5357999999999999	False	False
A0A0Q3LUK9	1	0.7243999999999999	False	False
A0A0U2IL20	1	0.4756	False	False
A0A0U2KU40	1	0.4587	False	False
A0A0U5KLU0	1	0.4326	False	False
A0A0U5KQ23	1	0.4526	False	False
A0A0U5KSU2	1	0.44780000000000003	False	False
A0A125T1E3	1	0.5579999999999999	False	False
A0A139WM49	1	0.5357	False	False
A0A146L8C2	1	0.46990000000000004	False	False
A0A146LCK2	1	0.4324	False	False
A0A147AUC3	1	0.5572	False	False
A0A151PD50	1	0.5885	False	False
A0A151XCU2	1	0.4722	False	False
A0A158NGS9	1	0.4633	False	False
A0A195DXS7	1	0.4622	False	False
A0A195FEJ8	1	0.45880000000000004	False	False
A0A1A6G5H9	1	0.5766	False	False
A0A1A6HP68	1	0.7626000000000001	False	False
A0A1A6HVP4	1	0.5854	False	False
A0A1A7YHA8	1	0.5488000000000001	False	False
A0A1A8A852	1	0.5537	False	False
A0A1A8B604	1	0.4738	False	False
A0A1A8CH91	1	0.5537	False	False
A0A1A8FFP5	1	0.5512	False	False
A0A1A8K4R3	1	0.5439	False	False
A0A1A8M9Q6	1	0.5537	False	False
A0A1A8N6X0	1	0.5904	False	False
A0A1A8QDT8	1	0.5512	False	False
A0A1A8S748	1	0.565	False	False
A0A1D5PMC9	1	0.8905	False	False
A0A1I8MN95	1	0.4325	False	False
A0A1I8MN98	1	0.4191	False	False
A0A1I8P2X2	1	0.41609999999999997	False	False
A0A1J0M5M7	1	0.44439999999999996	False	False
A0A1J0M5M9	1	0.45	False	False
A0A1J0M5N3	1	0.4458	False	False
A0A1J1HKS3	1	0.4976	False	False
A0A1L5IYY4	1	0.47369999999999995	False	False
A0A1L8EVN4	1	0.5672	False	False
A0A1L8FQM4	1	0.5455	False	False
A0A1S3FDU9	1	0.7551000000000001	False	False
A0A1S3GN90	1	0.6146	False	False
A0A1S3IAV3	1	0.4772	False	False
A0A1S3LK60	1	0.47479999999999994	False	False
A0A1S3LY80	1	0.547	False	False
A0A1S3MH66	1	0.446	False	False
A0A1S3MZ68	1	0.5644	False	False
A0A1S3ND80	1	0.5582	False	False
A0A1S3P0K9	1	0.5589999999999999	False	False
A0A1S3PR04	1	0.5561	False	False
A0A1S3Q847	1	0.5439	False	False
A0A1S3R293	1	0.5518	False	False
A0A1S4FEE7	1	0.4561	False	False
A0A1U7Q9R2	1	0.7652	False	False
A0A1U7R2A8	1	0.5831000000000001	False	False
A0A1U7UG16	1	0.7626000000000001	False	False
A0A1V4KLM0	1	0.6	False	False
A0A1Y1KPW3	1	0.5071	False	False
A0A1Y9HAZ5	1	0.4004	False	False
A0A1Z1VMP9	1	0.5892000000000001	False	False
A0A212DER2	1	0.7575	False	False
A0A226N909	1	0.5906	False	False
A0A286XYV5	1	0.5746	False	False
A0A286XZZ2	1	0.5481	False	False
A0A2A4JC83	1	0.47090000000000004	False	False
A0A2D0R5M0	1	0.5593	False	False
A0A2D0R8U5	1	0.5473	False	False
A0A2H8TS47	1	0.4318	False	False
A0A2I3SDD4	1	0.7676999999999999	False	False
A0A2I3SFH2	1	0.5333	False	False
A0A2I4BM51	1	0.6304	False	False
A0A2I4C2U8	1	0.4698	False	False
A0A2I4CB57	1	0.5501	False	False
A0A2I4CCS1	1	0.5511	False	False
A0A2J8KLU6	1	0.5346	False	False
A0A2K5CN81	1	0.7676999999999999	False	False
A0A2K5FAB6	1	0.5766	False	False
A0A2K5JNW7	1	0.6103000000000001	False	False
A0A2K5N1H8	1	0.5367999999999999	False	False
A0A2K5NKZ3	1	0.7726999999999999	False	False
A0A2K5PCJ7	1	0.7652	False	False
A0A2K5RXL0	1	0.5496	False	False
A0A2K5S9L3	1	0.5791	False	False
A0A2K5XF06	1	0.5854	False	False
A0A2K6C4A7	1	0.7726999999999999	False	False
A0A2K6DTM4	1	0.5791	False	False
A0A2K6EEK1	1	0.7652	False	False
A0A2K6EKZ8	1	0.578	False	False
A0A2K6KIT0	1	0.5761	False	False
A0A2K6L497	1	0.7702	False	False
A0A2K6MG05	1	0.5815	False	False
A0A2K6RHE6	1	0.5791	False	False
A0A2K6S9J4	1	0.5766	False	False
A0A2M4BP66	1	0.4976	False	False
A0A2P4TG06	1	0.5953	False	False
A0A2R9ATB4	1	0.529	False	False
A0A2R9AWY9	1	0.5945	False	False
A0A2S2NS33	1	0.4305	False	False
A0A2U3VZF4	1	0.7652	False	False
A0A2U3W420	1	0.5756	False	False
A0A2U3W5Y0	1	0.5401	False	False
A0A2U3Z6V6	1	0.6748000000000001	False	False
A0A2U9C8Q3	1	0.47369999999999995	False	False
A0A2U9D153	1	0.5614	False	False
A0A2U9NKQ0	1	0.6145	False	False
A0A2Y9DKK0	1	0.5951	False	False
A0A2Y9E6U2	1	0.7676999999999999	False	False
A0A2Y9EST0	1	0.7652	False	False
A0A2Y9H591	1	0.4924	False	False
A0A2Y9J5J9	1	0.5791	False	False
A0A2Y9KKV3	1	0.5602	False	False
A0A2Y9L1Y8	1	0.7626000000000001	False	False
A0A2Y9MSV0	1	0.5805	False	False
A0A2Y9NDZ2	1	0.5401	False	False
A0A2Y9NH78	1	0.5101	False	False
A0A2Y9SV89	1	0.5829	False	False
A0A2Y9TF56	1	0.5495	False	False
A0A315V6G5	1	0.5439	False	False
A0A315VAF4	1	0.5297999999999999	False	False
A0A315VZ35	1	0.5105	False	False
A0A315W647	1	0.4119	False	False
A0A340WE97	1	0.5805	False	False
A0A340X6Q8	1	0.5463	False	False
A0A341AWS9	1	0.6006	False	False
A0A341CW65	1	0.578	False	False
A0A384AKW1	1	0.5805	False	False
A0A384BXI1	1	0.5401	False	False
A0A3B0JE54	1	0.431	False	False
A0A3B1IF35	1	0.5548	False	False
A0A3B1J4Z1	1	0.5305	False	False
A0A3B1JQ04	1	0.4697	False	False
A0A3B3B4W5	1	0.486	False	False
A0A3B3BD40	1	0.5683	False	False
A0A3B3CWC5	1	0.5475	False	False
A0A3B3DM54	1	0.5763	False	False
A0A3B3DPL7	1	0.4768	False	False
A0A3B3H8Y2	1	0.5655	False	False
A0A3B3IDW5	1	0.4767	False	False
A0A3B3RUN0	1	0.5558	False	False
A0A3B3SRJ0	1	0.5411	False	False
A0A3B3SRJ5	1	0.5346	False	False
A0A3B3TC00	1	0.5679	False	False
A0A3B3TCB6	1	0.5693	False	False
A0A3B3U009	1	0.5506	False	False
A0A3B3V999	1	0.491	False	False
A0A3B3VZZ2	1	0.4654	False	False
A0A3B3X4U8	1	0.49329999999999996	False	False
A0A3B3YDC9	1	0.4631	False	False
A0A3B3YHY1	1	0.5868	False	False
A0A3B3ZDX2	1	0.5721	False	False
A0A3B3ZES7	1	0.5732	False	False
