accession	feature	my_label	observed_in_neighbors	expected_fraction	observed_fraction	enrichment_ratio	z_score
A0A016SKM3	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A016VA76	ec_top_level	2.0	20	0.12823930105138456	1.0	7.797921478060046	11.660121335612288
A0A016VXS0	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A017S8M2	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A017SGW5	ec_top_level	1.0	14	0.7148674663112691	0.7	0.9792024857586742	-0.14727051581406025
A0A022Q4E5	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A022QXB8	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A022XM30	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A022XPR2	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A023ENT8	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A023EQ83	ec_top_level	1.0	14	0.7148674663112691	0.7	0.9792024857586742	-0.14727051581406025
A0A023EUU2	ec_top_level	2.0	15	0.12823930105138456	0.75	5.8484411085450345	8.316278997435383
A0A023EUU7	ec_top_level	2.0	12	0.12823930105138456	0.6	4.678752886836028	6.309973594529239
A0A023F9Q1	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A023FCJ4	ec_top_level	2.0	13	0.12823930105138456	0.65	5.06864896073903	6.978742062164621
A0A023FLX5	ec_top_level	1.0	12	0.7148674663112691	0.6	0.8393164163645779	-1.1378260868223724
A0A023FVV6	ec_top_level	1.0	11	0.7148674663112691	0.55	0.7693733816675298	-1.6331038723265279
A0A023I9D7	ec_top_level	3.0	19	0.13453280023693173	0.95	7.06147495872317	10.687646910347592
A0A023T480	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A024R5F7	ec_top_level	3.0	19	0.13453280023693173	0.95	7.06147495872317	10.687646910347592
A0A026W7N4	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A026WVM4	ec_top_level	2.0	17	0.12823930105138456	0.85	6.62823325635104	9.653815932706145
A0A034WJ56	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A059IZP5	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A059J839	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A060KPY0	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A061AQZ7	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A061DFW3	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A061GJ30	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A061IFI3	ec_top_level	4.0	19	0.019472826891751813	0.95	48.78593155893536	30.116169952322853
A0A061ILV4	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A067FD17	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A067FGN9	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A067FQ45	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A067FY18	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A067K999	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A067R1F2	ec_top_level	1.0	15	0.7148674663112691	0.75	1.0491455204557225	0.3480072696900963
A0A068BEQ2	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A068FJH4	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A068FMP4	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A068GQB1	ec_top_level	1.0	17	0.7148674663112691	0.85	1.1890315898498187	1.3385628406984083
A0A068TNV2	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A068U0U5	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A069DY28	ec_top_level	1.0	13	0.7148674663112691	0.65	0.9092594510616261	-0.6425483013182157
A0A069DZ84	ec_top_level	2.0	13	0.12823930105138456	0.65	5.06864896073903	6.978742062164621
A0A072NYF6	ec_top_level	1.0	15	0.7148674663112691	0.75	1.0491455204557225	0.3480072696900963
A0A072P885	ec_top_level	1.0	11	0.7148674663112691	0.55	0.7693733816675298	-1.6331038723265279
A0A072TLG7	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A072TNC8	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A078HGM5	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A078IP80	ec_top_level	1.0	15	0.7148674663112691	0.75	1.0491455204557225	0.3480072696900963
A0A078J804	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A078JHN7	ec_top_level	1.0	12	0.7148674663112691	0.6	0.8393164163645779	-1.1378260868223724
A0A084VP42	ec_top_level	2.0	9	0.12823930105138456	0.45	3.509064665127021	4.303668191623096
A0A084VZD1	ec_top_level	1.0	15	0.7148674663112691	0.75	1.0491455204557225	0.3480072696900963
A0A084W1Y8	ec_top_level	1.0	15	0.7148674663112691	0.75	1.0491455204557225	0.3480072696900963
A0A087GK63	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A087H9B9	ec_top_level	1.0	11	0.7148674663112691	0.55	0.7693733816675298	-1.6331038723265279
A0A087QPL0	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087QPL1	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A087QQR0	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A087QV48	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087R570	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087RDU2	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087RH11	ec_top_level	3.0	20	0.13453280023693173	1.0	7.433131535498074	11.342955113636016
A0A087RHS6	ec_top_level	2.0	20	0.12823930105138456	1.0	7.797921478060046	11.660121335612288
A0A087RKL6	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087T4C6	ec_top_level	2.0	15	0.12823930105138456	0.75	5.8484411085450345	8.316278997435383
A0A087TJN6	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A087TZ04	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A087TZ07	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A087TZ09	ec_top_level	1.0	17	0.7148674663112691	0.85	1.1890315898498187	1.3385628406984083
A0A087V3L8	ec_top_level	3.0	20	0.13453280023693173	1.0	7.433131535498074	11.342955113636016
A0A087V428	ec_top_level	1.0	19	0.7148674663112691	0.95	1.328917659243915	2.3291184117067205
A0A087V6M4	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087VF03	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A087VFC0	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087VKM7	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087VPC9	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087X389	ec_top_level	3.0	19	0.13453280023693173	0.95	7.06147495872317	10.687646910347592
A0A087X6V0	ec_top_level	3.0	20	0.13453280023693173	1.0	7.433131535498074	11.342955113636016
A0A087XB59	ec_top_level	1.0	20	0.7148674663112691	1.0	1.3988606939409631	2.824396197210877
A0A087XBD3	ec_top_level	3.0	18	0.13453280023693173	0.9	6.689818381948267	10.032338707059166
A0A087XBI4	ec_top_level	1.0	18	0.7148674663112691	0.9	1.258974624546867	1.8338406262025648
A0A087XBR5	ec_top_level	1.0	17	0.7148674663112691	0.85	1.1890315898498187	1.3385628406984083
A0A087XBZ3	ec_top_level	3.0	20	0.13453280023693173	1.0	7.433131535498074	11.342955113636016
A0A087XMX9	ec_top_level	1.0	16	0.7148674663112691	0.8	1.1190885551527707	0.8432850551942529
A0A087XP46	ec_top_level	1.0	17	0.7148674663112691	0.85	1.1890315898498187	1.3385628406984083
A0A087XUR9	ec_top_level	2.0	17	0.12823930105138456	0.85	6.62823325635104	9.653815932706145
