accession	cluster	umap_1	umap_2	ec_full	ec_top_level	ec_subclass	ec_sub_subclass	protein_name_first_word	is_p450	cyp_family	cyp_subfamily	is_bsh	is_hsd	is_reductase	is_receptor	is_transporter	genus	species_binomial	length_aa	shannon_entropy	is_literature_recruited	has_ec	has_rhea
A0A016SKM3	47.0	-3.210017681121826	3.808621406555176	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Ancylostoma	Ancylostoma ceylanicum	261	3.9974	0	True	True
A0A016VA76	13.0	-3.869168519973755	-0.8151490688323975	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Ancylostoma	Ancylostoma ceylanicum	531	4.1569	0	True	True
A0A016VXS0	35.0	2.7847044467926025	-2.392343282699585	1.1.1.62	1	1.1	1.1.1		False			False	True	True	False	True	Ancylostoma	Ancylostoma ceylanicum	247	4.0054	0	True	True
A0A017S8M2	44.0	8.22624683380127	13.660161018371582	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Aspergillus	Aspergillus ruber	524	4.163	0	True	True
A0A017SGW5	44.0	9.0147066116333	12.197616577148438	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Aspergillus	Aspergillus ruber	514	4.1744	0	True	True
A0A022Q4E5	43.0	-0.4816265702247619	14.886730194091797	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Erythranthe	Erythranthe guttata	490	4.1435	0	True	True
A0A022QXB8	43.0	-1.231624960899353	14.002756118774414	1.14.14.147	1	1.14	1.14.14	alpha-hydroxysteroid	False			False	False	False	False	False	Erythranthe	Erythranthe guttata	516	4.1534	0	True	True
A0A022XM30	44.0	8.46286392211914	13.929239273071287	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Trichophyton	Trichophyton soudanense	527	4.1767	0	True	True
A0A022XPR2	94.0	12.045137405395508	10.930299758911133	1.14.14.154	1	1.14	1.14.14	sterol	False			False	False	False	False	False	Trichophyton	Trichophyton soudanense	514	4.1919	0	True	True
A0A023ENT8	47.0	-2.755157232284546	4.168417930603027	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Aedes	Aedes albopictus	258	3.9637	0	True	True
A0A023EQ83	87.0	-2.105734348297119	3.514865159988404	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Aedes	Aedes albopictus	344	4.0482	0	True	True
A0A023EUU2	13.0	-3.914162397384644	-1.008427977561951	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Aedes	Aedes albopictus	544	4.1261	0	True	True
A0A023EUU7	13.0	-3.930197477340698	-1.0195657014846802	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Aedes	Aedes albopictus	544	4.1275	0	True	True
A0A023F9Q1	47.0	-2.7210941314697266	4.032956123352051	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Triatoma	Triatoma infestans	255	4.0467	0	True	True
A0A023FCJ4	13.0	-4.446620941162109	-0.8589814901351929	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Triatoma	Triatoma infestans	540	4.1515	0	True	True
A0A023FLX5	87.0	-2.0736896991729736	3.9972658157348633	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Amblyomma	Amblyomma cajennense	260	3.9916	0	True	True
A0A023FVV6	87.0	-2.1090424060821533	4.020306587219238	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Amblyomma	Amblyomma parvum	260	3.9875	0	True	True
A0A023I9D7	61.0	10.298900604248049	-0.1284397393465042	3.1.1.13	3	3.1	3.1.1	Carboxylic	False			False	False	False	False	False	Sparus	Sparus aurata	554	4.1606	0	True	True
A0A023T480	94.0	9.663071632385254	11.880242347717283	1.14.14.154	1	1.14	1.14.14	sterol	True	CYP51	CYP51A	False	False	False	False	False	Aspergillus	Aspergillus fumigatus	515	4.1999	0	True	True
A0A024R5F7	56.0	3.195132255554199	3.494800806045532	3.3.2.11	3	3.3	3.3.2	dehydrocholesterol	False			False	False	True	False	False	Homo	Homo sapiens	475	4.1763	0	True	True
A0A026VYY2	48.0	5.6227240562438965	6.591347694396973					Hedgehog	False			False	False	False	False	False	Ooceraea	Ooceraea biroi	485	4.0707	0	False	True
A0A026W7N4	47.0	-2.698149919509888	3.963001489639282	1.1.1.62	1	1.1	1.1.1	hydroxyacyl-CoA	False			False	False	True	False	False	Ooceraea	Ooceraea biroi	256	3.9636	0	True	True
A0A026WVM4	13.0	-4.242171764373779	-0.9990392327308656	2.3.1.176	2	2.3	2.3.1	Sterol	False			False	False	False	False	True	Ooceraea	Ooceraea biroi	541	4.1509	0	True	True
A0A034V8N2	13.0	-4.306485176086426	-1.1361733675003052					Sterol	False			False	False	False	False	True	Bactrocera	Bactrocera dorsalis	545	4.1282	0	False	True
A0A034WE56	48.0	5.811554431915283	7.053140640258789					Hedgehog	False			False	False	False	False	False	Bactrocera	Bactrocera dorsalis	526	4.1764	0	False	True
