accession	protein_names	gene_names	organism	cluster	n_substrates	mean_tanimoto	median_tanimoto	std_tanimoto	min_tanimoto	max_tanimoto
A0A091GJG3	Hedgehog protein	N303_03800	Cuculus canorus (Common cuckoo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A096NWF2	Hedgehog protein	SHH	Papio anubis (Olive baboon)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A0D9R2D0	Hedgehog protein	SHH	Chlorocebus sabaeus (Green monkey) (Simia sabaea)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A151PD50	Hedgehog protein	SHH Y1Q_0014504	Alligator mississippiensis (American alligator)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A1A6G5H9	Hedgehog protein	A6R68_08307	Neotoma lepida (Desert woodrat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A1A6HVP4	Hedgehog protein	A6R68_23699	Neotoma lepida (Desert woodrat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A1U7R2A8	Hedgehog protein	Shh	Mesocricetus auratus (Golden hamster)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A1V4KLM0	Hedgehog protein	SHH AV530_011746	Patagioenas fasciata monilis	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A1Z1VMP9	Hedgehog protein	Shh	Ambystoma mexicanum (Axolotl)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A226N909	Hedgehog protein	ASZ78_002895	Callipepla squamata (Scaled quail)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A286XZZ2	Hedgehog protein	SHH	Cavia porcellus (Guinea pig)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2I3SFH2	Hedgehog protein	SHH	Pan troglodytes (Chimpanzee)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2K5N1H8	Hedgehog protein	SHH	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2K5RXL0	Hedgehog protein	SHH	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2K5XF06	Hedgehog protein	IHH	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2K6EKZ8	Hedgehog protein	IHH	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2K6KIT0	Hedgehog protein	SHH	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2P4TG06	Hedgehog protein	CIB84_000962	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2R9ATB4	Hedgehog protein	SHH	Pan paniscus (Pygmy chimpanzee) (Bonobo)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2U3W5Y0	Hedgehog protein	SHH	Odobenus rosmarus divergens (Pacific walrus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2Y9KKV3	Hedgehog protein	LOC111154521	Enhydra lutris kenyoni (northern sea otter)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2Y9MSV0	Hedgehog protein	IHH	Delphinapterus leucas (Beluga whale)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2Y9NDZ2	Hedgehog protein	SHH	Delphinapterus leucas (Beluga whale)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A2Y9TF56	Hedgehog protein	SHH	Physeter macrocephalus (Sperm whale) (Physeter catodon)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A340X6Q8	Hedgehog protein	SHH	Lipotes vexillifer (Yangtze river dolphin)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A384BXI1	Hedgehog protein	SHH	Ursus maritimus (Polar bear) (Thalarctos maritimus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A3B1J4Z1	Hedgehog protein		Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A3B4CS27	Hedgehog protein		Pygocentrus nattereri (Red-bellied piranha)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A3L7H8J6	Hedgehog protein	Shh	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A452EW38	Hedgehog protein	IHH	Capra hircus (Goat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A452FTR7	Hedgehog protein	SHH	Capra hircus (Goat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A452FUF0	Hedgehog protein	SHH	Capra hircus (Goat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A452I9L9	Hedgehog protein		Gopherus agassizii (Agassiz's desert tortoise)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A4D9EIM3	Hedgehog protein	DR999_PMT06585	Platysternon megacephalum (big-headed turtle)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A4U1EZX8	Hedgehog protein	IHH EI555_017131	Monodon monoceros (Narwhal) (Ceratodon monodon)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A4W2CR13	Hedgehog protein	IHH	Bos indicus x Bos taurus (Hybrid cattle)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A4X2JY06	Hedgehog protein	IHH	Vombatus ursinus (Common wombat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A4X2KP89	Hedgehog protein	SHH	Vombatus ursinus (Common wombat)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A5E4AWX1	Hedgehog protein	GHT09_018591 MONAX_5E011217	Marmota monax (Woodchuck)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A5E4C014	Hedgehog protein	GHT09_015628 MONAX_5E005120	Marmota monax (Woodchuck)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A5N3XNS8	Hedgehog protein	FD755_012240	Muntiacus reevesi (Reeves' muntjac) (Cervus reevesi)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A667GV35	Hedgehog protein	SHH	Lynx canadensis (Canada lynx) (Felis canadensis)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A667HJU6	Hedgehog protein	SHH	Lynx canadensis (Canada lynx) (Felis canadensis)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
A0A669P4Q7	Hedgehog protein	SHH	Phasianus colchicus (Common pheasant)	0	2	0.6567	0.6567	0.0	0.6567	0.6567
