cluster	size	dominant_stem	stem_coherence	dominant_go	go_coherence	dominant_kw	kw_coherence	dominant_ec_top	ec_coherence	n_outliers	case_study_score	outlier_accessions	outlier_protein_names
8	268	24-hydroxycholesterol 7-alpha-hydroxylase	0.929	heme binding	0.951	Lipid metabolism	1.0	1	1.0	19	0.824	A0A2I3M4E1;A0A2K5N836;A0A2K5VT70;A0A2K6KB82;A0A2R9C539;H2PZ51;P00502;P04904;P08263;P08683;P10632;P11712;P13745;P20813;P30115;Q16772;Q28035;P04905;P10649	Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;Aldo-keto reductase family 1 member D1;Cytochrome P450 2D6 (CYPIID6) (Cholesterol 25-hydroxylase) (;Cytochrome P450 2D6 (CYPIID6) (Cholesterol 25-hydroxylase) (;Glutathione S-transferase alpha-1 (EC 2.5.1.18) (13-hydroper;Glutathione S-transferase alpha-3 (EC 2.5.1.18) (GST 2-2) (G;Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoc;Cytochrome P450 2C11 (EC 1.14.14.1) (CYPIIC11) (Cytochrome P;Cytochrome P450 2C8 (EC 1.14.14.1) (CYPIIC8) (Cytochrome P45;Cytochrome P450 2C9 (EC 1.14.14.1) ((R)-limonene 6-monooxyge;Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoc;Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monoox;Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha ;Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha ;Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoc;Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 3-3) (GSTM;Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST 1-1) (GST 
57	299	Hormone-sensitive lipase	0.93	caveola	0.93	Cholesterol metabolism	0.97	1	1.0	21	0.821	A0A2K6KM31;A0A2U4ANW2;A0A2U4AP07;A0A2Y9FAB6;A0A2Y9FAP6;A0A2Y9P5F1;A0A7K4J6Y9;A0A7K4VKZ5;A0A7K5VSF5;A0A7L2IT64;A0A7L3L642;A0A851UGP6;A0A852AEU6;A0A8C0HXY4;A0A8C4MNF9;A0A8C6A5U5;A0A8C8ZYQ2;A0A8I5KRT9;A0A8I5UEU2;A0AAA9SKE4;Q4R303	Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.
7	281	Glucosylceramidase	0.918	lysosome organization	0.925	Lipid metabolism	1.0	1	1.0	23	0.821	A0A1U7T1M3;A0A2K6DQ96;A0A2U4ANZ2;A0A3Q7TW57;A0A4X2M6D5;A0A6J0AMW0;A0A6J2AGY8;A0A6J2BDF0;A0A6P5PLS7;A0A7F8K2T7;A0A7F8QQ57;A0A8B8TDN2;A0A8B8YE74;A0A9L0I9Z8;A0AAX6Q0L6;A0ABD2EDX4;A0ABM2W8D0;F7G822;K9K3W5;P14061;P51656;P51657;Q9GJW8	Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy;17-beta-hydroxysteroid dehydrogenase type 1 (17-beta-HSD 1) ;17-beta-hydroxysteroid dehydrogenase type 1 (17-beta-HSD 1) ;Estradiol 17-beta-dehydrogenase 1 (EC 1.1.1.62) (17-beta-hyd;Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cy
45	144	Steroid 17-alpha-hydroxylase	0.903	heme binding	0.917	Heme	0.917	1	1.0	14	0.809	H2KYS3;Q9VWR5;A0A8M3B0Y2;O08537;P16058;P50241;P57717;Q62986;Q92731;Q9IAK1;Q9TU15;Q9XSB5;Q9YHZ7;O13012	3-ketosteroid oxygenase (EC 1.14.14.-) (Cytochrome P450 daf-;Cytochrome P450 306a1 (CYPCCCVIA1) (EC 1.14.15.-) (Protein p;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nucl;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily
66	105	Androgen receptor	0.771	DNA-templated transcription	0.848	DNA-binding	0.848	3	0.667	24	0.801	A0A3N0XIF3;A0A3S2PC18;A0A498NDX9;A0A556V1S1;A0A8J4UAN8;A0A8T3CQR3;A0A9D3PW23;A0A9W8C4Q3;A0AAD7RGM4;A0AAD8Z915;A0AAD9FBP3;A0AAV6PX17;Q14032;Q63276;Q91X34;Q96J66;A7X8B3;A7X8B7;P06186;P06401;P07812;P51450;Q5RAP4;A7X8C7	Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Glucosylceramidase (EC 3.2.1.45);Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC;Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC;Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC;ATP-binding cassette sub-family C member 11 (EC 7.6.2.2) (EC;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro;Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuc;Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuc;Progesterone receptor (PR) (Nuclear receptor subfamily 3 gro
1	368	Carboxylic ester hydrolase	0.948	sterol ester esterase activity	0.967	Lipid metabolism	0.995	3	0.973	19	0.797	A0A084VP42;A0A182JGV2;A0A182JNW4;A0A182LXH7;A0A182NE43;A0A182PJ65;A0A182SFK8;A0A182W9P8;A0A182YGV1;A0A8C9LEX3;A0A8T2PT70;G1Q033;L5M045;O46421;P23141;Q7Q3K1;Q7Z3Q1;Q8VCC2;Q9DC26	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.6) (Bile ;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Bile salt-activated lipase (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.;Liver carboxylesterase 1 (EC 3.1.1.1) (Cholesteryl ester hyd;Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltr;Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.;Lysosomal proton-coupled steroid conjugate and bile acid sym;Liver carboxylesterase 1 (EC 3.1.1.1) (Acyl-coenzyme A:chole;Lysosomal proton-coupled steroid conjugate and bile acid sym
58	104	3-keto-steroid reductase	0.856	3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity	0.856	Lipid metabolism	0.99	1	1.0	15	0.787	A0A1A6H4T2;A0A1U8CPR5;A0A6J0E6A2;A0A6P5Q051;A0A8C6H295;A0A8C6RWQ1;A0A9J7K141;A0AAV0A7W4;A0AAW0H713;A0ABM0L8P6;A0ABQ0EXI1;E9Q4M2;G3V8R5;P15304;A0A1D8PPK1	Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoac;Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycer;Probable NADPH dehydrogenase (EC 1.6.99.1) (Estrogen-binding
21	381	Sterol carrier protein 2	0.913	acetyl-CoA C-acyltransferase activity	0.916	Lipid metabolism	0.995	2	0.961	33	0.777	A0A096NF45;A0A3B3C7G0;A0A3B3C7H5;A0A437CRC8;A0A7R9BJY9;A0A8B9XKB1;A0A8C7X529;A0A8C7X573;A0A8C8DII2;F1MNG1;G1TB11;G5EDP2;H2MHL7;I6XHI4;Q16678;Q64429;Q64678;A0A663EE13;A0A670K1N1;A0A672V488;A0A674IGN8;A0A8B9C791;A0A8C0GQV1;A0A8C3PAS9;A0A8C4YR74;A0A8C9U915;A0A8D0E9W1;A0A8D0GKI8;B5G356;G1MVX1	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC;Carboxylic ester hydrolase (EC 3.1.1.-);Carboxylic ester hydrolase (EC 3.1.1.-);Carboxylic ester hydrolase (EC 3.1.1.-);3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1;17-alpha-hydroxyprogesterone aldolase;Carboxylic ester hydrolase (EC 3.1.1.-);Carboxylic ester hydrolase (EC 3.1.1.-);Carboxylic ester hydrolase (EC 3.1.1.-);17-alpha-hydroxyprogesterone aldolase;hydroperoxy icosatetraenoate dehydratase (EC 4.2.1.152) (Hyd;Non-specific lipid-transfer protein-like 2 (NSL-TP2) (EC 2.3;Carboxylic ester hydrolase (EC 3.1.1.-);Steroid 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA ac;Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy ico;Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Cytochrome P450;Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Cytochrome P450;Apolipoprotein A-I (Apolipoprotein A1);Apolipoprotein A1;Apolipoprotein A-I (Apolipoprotein A1);Apolipoprotein A1;Apolipoprotein A-I (Apolipoprotein A1);Apolipoprotein A-I (Apolipoprotein A1);Apolipoprotein A1;Apolipoprotein A1;Apolipoprotein A-I (Apolipoprotein A1);Apolipoprotein A1;Apolipoprotein A1;Apolipoprotein A-I (Apolipoprotein A1);Apolipoprotein A1
30	104	Hormone-sensitive lipase	0.885	cholesterol metabolic process	0.913	Lipid metabolism	0.971	1	1.0	12	0.774	A0A0G2JVP8;A0A0L1JEW4;A0A8C6HPF7;B8NUK6;I1RJR2;P0DXU9;P97265;Q12664;Q5RF65;Q80UA9;Q91WG1;Q9Y5U4	Cytosolic beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.45) (EC 3;Sterol 14-alpha demethylase rstn2 (EC 1.14.14.154) (Cytochro;Bile salt export pump (ATP-binding cassette sub-family B mem;Sterol 14-alpha demethylase (EC 1.14.14.154) (Cytochrome P45;Sterol 14-alpha demethylase CYP51A (EC 1.14.14.154) (Cytochr;Sterol 14-alpha demethylase resB (EC 1.14.14.154) (Cytochrom;Cytosolic beta-glucosidase (EC 3.2.1.21) (Cytosolic galactos;Eburicol 14-alpha-demethylase (EC 1.14.14.154) (CYPLI) (Cyto;Cytosolic beta-glucosidase (EC 3.2.1.21) (Cytosolic galactos;Insulin-induced gene 2 protein (INSIG-2);Insulin-induced gene 2 protein (INSIG-2);Insulin-induced gene 2 protein (INSIG-2)
20	103	Multidrug resistance-associated protein 4	0.903	basolateral plasma membrane	1.0	Repeat	1.0		0.0	10	0.772	A0A091E3B6;A0A2K5XXZ7;A0A5E4A5M7;A0A8D2HBX1;A0A8I5YBX7;A0AAA9T569;E9Q236;F1M3J4;I3M2W6;O15439	Cystic fibrosis transmembrane conductance regulator (EC 5.6.;ATP-binding cassette sub-family C member 5 (EC 7.6.2.2) (EC ;Cystic fibrosis transmembrane conductance regulator (EC 5.6.;Cystic fibrosis transmembrane conductance regulator (EC 5.6.;Cystic fibrosis transmembrane conductance regulator (EC 5.6.;ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC ;ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC ;ATP-binding cassette subfamily C member 4 (EC 7.6.2.-) (EC 7;Cystic fibrosis transmembrane conductance regulator (EC 5.6.;ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 
