i	j	len_i	len_j	identity
7296	1639	696	524	0.23728813559322035
18024	16049	1501	292	0.20408163265306123
14628	9144	245	707	0.5555555555555556
6717	5697	261	227	0.27906976744186046
27651	2082	501	188	0.5833333333333334
1952	6140	1352	399	0.25
14328	15247	628	299	0.3333333333333333
33118	1739	739	524	0.35714285714285715
13031	27493	1268	697	0.4666666666666667
14446	29439	163	211	0.5
18231	425	540	552	0.4166666666666667
10463	27696	544	254	0.27419354838709675
22298	18210	477	190	0.2261904761904762
10189	14110	304	1286	0.3783783783783784
22059	6698	1271	345	0.21568627450980393
6078	24898	513	500	0.2857142857142857
6338	23526	313	1487	0.2777777777777778
2847	30108	512	1261	0.29411764705882354
8180	24807	1352	1281	0.9658119658119658
5164	19213	500	512	0.22727272727272727
23700	12601	515	505	0.375
4558	3003	570	414	0.2631578947368421
14935	18965	188	511	0.6737967914438503
5229	15256	1305	1326	0.6491487786824575
6619	24911	361	345	0.3181818181818182
18217	29714	476	528	0.49471458773784355
23909	10659	535	1188	0.24074074074074073
24260	23283	525	959	0.36363636363636365
13730	17496	190	293	0.44
4679	11215	463	658	0.4666666666666667
35005	16043	573	506	0.2184873949579832
10708	30294	1534	521	0.2463768115942029
24867	17691	465	231	0.24210526315789474
14392	21252	556	1321	0.18604651162790697
3665	15010	605	298	0.2727272727272727
2103	20673	285	409	0.2702702702702703
26290	17546	889	292	0.8
4337	13826	584	1272	0.26666666666666666
20622	13934	284	346	0.43478260869565216
32717	25928	747	496	0.21100917431192662
30071	9363	495	1287	0.2391304347826087
17359	9150	317	546	0.2714285714285714
16162	17219	192	782	0.21052631578947367
28077	26175	845	1322	0.26785714285714285
23723	14373	460	478	0.3225806451612903
9065	33392	490	501	0.2702702702702703
32343	5957	722	338	0.3076923076923077
3087	7185	396	1295	0.28888888888888886
10016	10484	369	416	0.2978723404255319
27666	4163	546	315	0.23076923076923078
25216	25009	418	345	0.4117647058823529
30674	34676	1070	576	0.2857142857142857
16476	752	242	545	0.24242424242424243
7507	17486	463	1409	0.47368421052631576
22293	7310	1335	569	0.27631578947368424
19234	28492	616	663	0.32
10365	29735	261	211	0.30994152046783624
212	17261	477	728	0.4444444444444444
32806	11708	530	256	0.2777777777777778
33271	6973	1020	464	0.4583333333333333
19558	33270	1275	356	0.2631578947368421
13035	10016	95	369	0.34615384615384615
24504	10587	508	345	0.2727272727272727
34757	37	545	502	0.3333333333333333
21243	32021	464	323	0.30303030303030304
1276	7331	255	1203	0.2903225806451613
23788	20153	650	1235	0.26506024096385544
15692	3796	521	294	0.32142857142857145
15785	5161	394	507	0.5879396984924623
5613	31849	358	503	0.3333333333333333
4535	34911	406	592	0.3191489361702128
8241	8414	871	615	0.3
31148	10821	536	422	0.3333333333333333
17370	34581	544	553	0.4090909090909091
27730	13880	334	235	0.3225806451612903
13182	20428	394	1532	0.43478260869565216
26148	24472	527	469	0.36
28711	33919	260	850	0.47619047619047616
29588	7930	456	533	0.6592427616926503
